"MacroTrends Data Download"
"AMD - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1983-03-21,8.97,9.0325,8.8125,9,510800
1983-03-22,8.72,8.97,8.5,8.5,328000
1983-03-23,8.5,8.8125,8.47,8.72,427200
1983-03-24,8.72,8.7825,8.6575,8.7825,393200
1983-03-25,8.9075,9.0625,8.75,8.875,210400
1983-03-28,8.845,9.0325,8.6575,8.6875,494800
1983-03-29,8.595,8.845,8.345,8.4375,778000
1983-03-30,8.6575,8.8125,8.47,8.75,417200
1983-03-31,9,9.5625,8.3125,8.375,642400
1983-04-04,8.25,8.345,8,8.2825,772000
1983-04-05,8.25,8.47,8.1575,8.1575,603600
1983-04-06,7.9675,8.0625,7.8125,7.875,1021200
1983-04-07,7.8425,7.9375,7.75,7.9375,885600
1983-04-08,8.0325,8.1575,7.875,8.1575,499200
1983-04-11,8.2825,8.47,8.22,8.4075,713600
1983-04-12,8.4075,8.5325,8.375,8.4375,716000
1983-04-13,8.845,9.1875,8.5625,8.97,1886000
1983-04-14,9.0325,9.4375,9.0325,9.4375,1116800
1983-04-15,9.4375,9.5325,9.345,9.4075,783600
1983-04-18,9.3675,9.47,9.1875,9.25,762800
1983-04-19,9.1875,9.25,9,9.095,350400
1983-04-20,9.375,9.625,9.125,9.625,992000
1983-04-21,9.5,9.72,9.47,9.47,512000
1983-04-22,9.4075,9.4075,9.22,9.25,367600
1983-04-25,9.0625,9.3125,8.8125,8.875,664400
1983-04-26,9.1575,9.4375,8.875,9.4375,3200
1983-04-27,9.4075,9.5325,9.25,9.375,364000
1983-04-28,9.345,9.4375,9.25,9.3125,266800
1983-04-29,9.4075,9.5,9.3125,9.5,217200
1983-05-02,9.4075,9.5,9.2825,9.375,541200
1983-05-03,9.375,9.9075,9.375,9.845,496000
1983-05-04,10.22,10.5,9.9375,10.47,980400
1983-05-05,10.845,11.0625,10.625,10.97,1366400
1983-05-06,11,11.595,10.9375,11.47,775600
1983-05-09,11.25,11.375,11.1575,11.3125,804800
1983-05-10,11.3125,11.4375,11.3125,11.4375,870800
1983-05-11,11.375,11.4375,11.25,11.2825,370800
1983-05-12,11.25,11.2825,10.875,10.97,385200
1983-05-13,10.97,11.595,10.97,11.5325,390400
1983-05-16,11.4075,11.47,11.25,11.3125,588000
1983-05-17,11.375,11.47,11.25,11.3125,324400
1983-05-18,11.25,11.47,11.25,11.345,433200
1983-05-19,11.2825,11.375,11.125,11.1875,392800
1983-05-20,11.375,11.75,11.375,11.75,617200
1983-05-23,11.97,12,11.72,11.97,452000
1983-05-24,12.125,12.6575,12.0625,12.595,967200
1983-05-25,12.97,13.25,12.875,13.095,1001200
1983-05-26,13.095,13.095,12.4375,12.5,944400
1983-05-27,12.5325,12.595,12.3125,12.4075,317200
1983-05-31,12.125,12.22,12.095,12.125,523600
1983-06-01,12.1575,12.625,12.1575,12.625,830800
1983-06-02,12.72,13.125,12.5325,13.095,608000
1983-06-03,13.125,13.5,13.095,13.4075,537200
1983-06-06,13.375,13.6575,13.2825,13.625,552000
1983-06-07,13.5625,13.625,13.22,13.22,438800
1983-06-08,13.0625,13.2825,13.0325,13.1875,452800
1983-06-09,13.1875,13.25,12.97,13.095,252800
1983-06-10,13.125,13.25,13.0625,13.0625,76800
1983-06-13,13.125,13.1575,12.75,12.9075,209200
1983-06-14,12.845,12.9375,12.6575,12.6575,204000
1983-06-15,12.6575,13.0625,12.595,13.0625,304800
1983-06-16,13.25,13.8125,13.25,13.6575,292400
1983-06-17,13.6875,13.7825,13.5325,13.6575,109200
1983-06-20,13.625,13.6575,13.4075,13.47,178800
1983-06-21,13.5,13.5625,13.095,13.5,333600
1983-06-22,14.72,14.8125,14.595,14.6575,1033600
1983-06-23,14.75,16.655,14.6875,15.8125,1108400
1983-06-24,15.875,16.0625,15.5,16.0625,683200
1983-06-27,16.0625,16.2175,15.375,16.125,584800
1983-06-28,16.125,16.625,15.25,15.25,1028400
1983-06-29,15.5625,15.875,15.25,15.845,1016800
1983-06-30,15.9375,16.2175,15.9075,16.125,618400
1983-07-01,16.1875,16.1875,15.9075,16.155,177600
1983-07-05,15.9375,15.9375,15.47,15.7825,486000
1983-07-06,15.72,15.9375,15.6575,15.9075,338000
1983-07-07,15.9075,16.1875,15.7825,16.0625,284800
1983-07-08,16.0625,16.125,15.875,15.875,504000
1983-07-11,15.8125,16.2175,15.8125,16.2175,459600
1983-07-12,16.28,16.405,15.8125,15.9075,347200
1983-07-13,15.6875,15.75,14.7825,15.4375,536400
1983-07-14,15.4375,15.485,14.72,14.75,760800
1983-07-15,14.75,14.8125,14.25,14.4375,417200
1983-07-18,14.3125,14.3125,13.9375,14.0325,562800
1983-07-19,14.1875,14.8125,14.1875,14.72,430400
1983-07-20,15.0625,15.75,15,15.75,392400
1983-07-21,16.5,17.4375,16.405,16.9675,1458800
1983-07-22,16.515,16.905,16.125,16.28,471200
1983-07-25,16.155,16.4675,16.125,16.4675,290400
1983-07-26,16.4675,16.8425,16.405,16.5625,506000
1983-07-27,16.655,16.6875,15.845,15.97,432000
1983-07-28,15.9075,15.9375,14.7825,14.845,357200
1983-07-29,14.595,14.875,14.5325,14.875,572400
1983-08-01,14.75,15.22,14.75,15,740000
1983-08-02,15,15.125,14.6575,14.6575,240000
1983-08-03,14.6875,14.7825,14.375,14.5,613200
1983-08-04,14.5625,14.5625,13.9375,14.1875,332400
1983-08-05,14.25,14.4075,14,14.1875,398000
1983-08-08,14.095,14.095,13.875,14,229600
1983-08-09,13.875,13.9375,13.0325,13.375,1116400
1983-08-10,13.375,13.625,13.1575,13.4075,683200
1983-08-11,13.5325,14.0625,13.5325,14,605600
1983-08-12,14.095,14.345,14.095,14.1875,264800
1983-08-15,14.25,14.5325,14.25,14.2825,402000
