date;open;high;low;close;volume
26.3.2019;26.69;26.98;25.46;25.69;75754079
27.3.2019;25.7;25.88;24.55;24.89;88585265
28.3.2019;25.1;25.56;24.65;25.6;64667453
29.3.2019;25.58;25.73;25.25;25.52;53502807
1.4.2019;26.42;26.555;25.83;26.36;63000322
2.4.2019;26.51;26.8;26.9;26.75;53358772
3.4.2019;28.2;29.9498;27.88;29.02;197650478
4.4.2019;28.88;29.385;28.61;29.9;82191092
5.4.2019;29.64;29.69;28.8;28.98;65662738
8.4.2019;28.69;28.95;28.18;28.53;58002493
9.4.2019;28.24;28.38;27.19;27.24;75539793
10.4.2019;27.46;28.12;27.32;27.83;64368144
11.4.2019;27.81;28.5;27.46;27.79;44801179
12.4.2019;28.21;28.38;27.66;27.85;40560868
15.4.2019;27.8;27.84;26.96;27.33;40812497
16.4.2019;27.72;28.18;27.49;27.93;47340055
17.4.2019;28.21;28.27;27.22;27.49;48240768
18.4.2019;27.6;27.88;27.34;27.68;39880890
22.4.2019;27.62;28.23;27.39;28.18;36477286
23.4.2019;28.18;28.49;27.79;27.97;41777470
24.4.2019;28.1;28.85;27.93;28.46;51784738
25.4.2019;28.67;28.86;27.36;27.66;57329711
26.4.2019;27.66;27.9;27.5;27.88;48827903
29.4.2019;27.9;28.14;27.5;27.69;44532725
30.4.2019;27.59;27.8;26.94;27.63;73165869
1.5.2019;28.95;29.15;26.78;26.81;136066941
2.5.2019;26.94;28.64;26.61;28.29;100514792
3.5.2019;28.3;28.4201;27.66;28.22;55503062
6.5.2019;26.72;27.5;26.45;27.42;70344092
7.5.2019;27.2;27.35;26.21;26.66;75868821
8.5.2019;26.41;27.71;26.27;27.9;65967544
9.5.2019;26.7;27.38;26.3;27.21;73150883
10.5.2019;27.3;28.1;26.93;27.96;82930144
13.5.2019;26.98;27.23;26.1;26.24;99017893
14.5.2019;26.53;27.48;26.15;27.32;82980397
15.5.2019;26.87;27.79;26.73;27.58;55689874
16.5.2019;27.37;28.37;27.2699;28.1;67330064
17.5.2019;27.69;28.46;27.4;27.5;65385351
20.5.2019;26.98;27.24;26.49;26.68;69757402
21.5.2019;27.18;27.37;26.93;27.35;46079177
22.5.2019;27.12;27.59;27.7;27.41;40035288
23.5.2019;26.99;27.1;26.3;26.36;67809153
24.5.2019;26.61;26.925;26.4;26.44;39835788
28.5.2019;27.27;29.67;27.6;29.3;146949629
29.5.2019;29;29.32;27.73;28.9;99969597
30.5.2019;28.4;28.56;27.6;28.3;65289093
31.5.2019;27.57;28.36;27.4;27.41;68667809
3.6.2019;28.75;29.62;27.29;27.58;147532180
4.6.2019;28.39;29.59;27.91;29.57;107549523
5.6.2019;29.93;29.99;29.3;29.5;79481540
6.6.2019;29.87;31.98;29.84;31.82;131267796
7.6.2019;31.94;32.6;31.57;32.41;86841098
10.6.2019;33.53;34.3;33.08;33.23;97668791
11.6.2019;33.43;33.49;31.82;32.41;82834914
12.6.2019;32;32.57;31.92;32.18;56298671
13.6.2019;32.39;32.5;31.06;31.39;63555986
14.6.2019;30.7;30.96;30.02;30.36;70373015
17.6.2019;30.25;30.45;29.18;29.2;70865743
18.6.2019;29.76;30.97;29.58;30.45;86444542
19.6.2019;30.665;30.79;30.6;30.5;63233939
20.6.2019;31.24;31.36;29.84;30.1;72418162
21.6.2019;29.65;30.35;28.97;29.1;81861322
24.6.2019;29.32;29.4;28.67;29.26;55724826
25.6.2019;29.26;29.72;28.8;28.86;53680887
26.6.2019;29.98;30.48;29.78;29.92;65064199
27.6.2019;30.41;30.96;30.21;30.74;55623309
28.6.2019;31.8;31.11;30.33;30.37;50090925
1.7.2019;31.79;32.04;30.87;31.2;60525532
2.7.2019;30.96;31.26;30.73;31.24;37721679
3.7.2019;31.13;31.33;30.74;31.19;23462004
5.7.2019;30.88;31.56;30.75;31.5;34011867
8.7.2019;31.8;32.15;31.26;32.04;49689399
9.7.2019;31.76;33.18;31.71;33.15;61419773
10.7.2019;33.56;34.03;33.36;33.79;60388439
11.7.2019;33.91;34;32.76;33.06;63081800
12.7.2019;32.76;33.39;32.59;33.21;51509682
15.7.2019;33.34;34.55;33.27;34.39;65565248
16.7.2019;34.3;34.86;33.8;33.85;66912699
17.7.2019;34.01;34.3;33.49;33.6;42557903
18.7.2019;33.03;33.46;32.42;33;58610857
19.7.2019;33.08;33.35;32.45;32.51;44617702
22.7.2019;32.8;33.31;32.735;32.85;37777312
23.7.2019;33.17;33.5;32.93;33.49;38532460
24.7.2019;33.64;34.36;33.45;34.11;41952256
25.7.2019;34.05;34.25;33.62;33.67;36705616
26.7.2019;34.23;34.77;33.865;34.02;43502776
29.7.2019;34.14;34.18;32.98;33.48;45921978
30.7.2019;33.21;33.94;32.94;33.87;72198880
31.7.2019;32.08;32.3;30.3;30.45;119190001
1.8.2019;30.5;31.48;29.1;29.86;80878890
2.8.2019;29.48;29.7301;28.94;29.44;60410852
5.8.2019;28.26;28.49;27.65;27.99;74333240
6.8.2019;28.86;29.5;28.2;28.86;60578444
7.8.2019;28.47;29.28;28.37;29.19;58577543
8.8.2019;31.53;34.27;31.48;33.92;167278810
9.8.2019;33.45;35.55;33.08;34.19;132483947
12.8.2019;34.16;34.65;32.08;32.43;106936040
13.8.2019;32.36;33.14;31.72;32.11;102579321
14.8.2019;31;31.5;29.51;30.24;127521456
15.8.2019;30.63;30.73;29.21;29.67;72606817
16.8.2019;30.305;31.48;30.21;31.18;71588978
19.8.2019;32;32.19;31.42;31.48;67781613
20.8.2019;30.94;31.305;30.45;30.72;48016381
21.8.2019;31.5;31.74;30.84;31.7;41635046
22.8.2019;31.76;31.92;30.98;31.9;47742174
23.8.2019;31.3;31.83;29.4;29.54;83931683
26.8.2019;30.34;30.72;29.94;30.28;50858859
27.8.2019;30.6;30.89;29.6;30.2;53351711
28.8.2019;29.92;31.1801;29.7;30.78;55896445
29.8.2019;31.47;31.83;31.33;31.45;44485479
30.8.2019;31.6;31.865;31.13;31.45;40347321
3.9.2019;30.83;31.14;30.68;30.9;38080254
4.9.2019;31.32;31.83;30.85;30.95;46709780
5.9.2019;31.79;32.05;31.12;31.5;57932080
6.9.2019;31.5;31.51;30.48;30.56;51266264
9.9.2019;30.93;31.1752;30.24;30.5;54413163
10.9.2019;30.22;30.38;29.77;30.23;48604766
11.9.2019;30.38;30.43;29.51;29.76;50631683
12.9.2019;30.8;30.84;29.95;30.21;53618344
13.9.2019;30.27;30.85;29.95;30.69;47758753
16.9.2019;30.37;31.15;30.26;30.83;52248540
17.9.2019;31.7;31.32;30.74;30.99;35125750
18.9.2019;30.75;30.893;29.88;30.42;47277309
19.9.2019;30.57;30.96;30.14;30.29;41930831
20.9.2019;30.36;30.47;29.65;30.5;83555555
23.9.2019;30.12;30.8;30.7;30.64;45185837
24.9.2019;30.54;30.75;29.29;29.52;73220942
25.9.2019;29.48;29.65;28.5501;29.54;58691579
26.9.2019;29.67;29.77;29;29.47;41182228
27.9.2019;29.17;29.77;28.35;28.72;54144672
30.9.2019;28.89;29.5;28.36;28.99;40332052
1.10.2019;29.5;29.54;28.64;28.76;37366072
2.10.2019;28.5;28.85;28.3;28.31;44048752
3.10.2019;28.28;28.778;27.43;28.68;56905408
4.10.2019;28.83;29.6;28.57;29.1;34609211
7.10.2019;28.9;29.63;28.8431;28.93;39745268
8.10.2019;28.55;28.64;27.92;28.23;44432078
9.10.2019;28.8;28.95;28.35;28.46;36321583
10.10.2019;28.51;28.89;28;28.38;41171995
