Date;Price;Open;High;Low;Vol.;Change %
15.10.2019;35683.00;35683.00;35683.00;35683.00;-;0.56%
14.10.2019;35483.00;35483.00;35483.00;35483.00;-;-0.06%
11.10.2019;35505.00;35505.00;35505.00;35505.00;-;0.00%
10.10.2019;35505.00;35505.00;35505.00;35505.00;-;2.14%
9.10.2019;34760.00;34760.00;34760.00;34760.00;0.09K;2.19%
8.10.2019;34015.00;34015.00;34015.00;34015.00;-;-0.02%
7.10.2019;34020.50;34020.50;34020.50;34020.50;0.01K;-0.06%
4.10.2019;34042.00;34042.00;34042.00;34042.00;-;-4.19%
3.10.2019;35531.00;35531.00;35531.00;35531.00;-;-0.01%
2.10.2019;35536.00;35536.00;35536.00;35536.00;-;0.00%
1.10.2019;35536.00;35536.00;35536.00;35536.00;-;-0.05%
30.9.2019;35552.00;35552.00;35552.00;35552.00;-;-2.78%
27.9.2019;36568.00;36568.00;36568.00;36568.00;0.06K;-1.35%
26.9.2019;37068.00;37068.00;37068.00;37068.00;0.16K;-0.04%
25.9.2019;37084.00;37084.00;37084.00;37084.00;-;-0.00%
24.9.2019;37084.50;37084.50;37084.50;37084.50;-;-0.01%
23.9.2019;37090.00;37090.00;37090.00;37090.00;-;1.32%
20.9.2019;36606.00;36606.00;36606.00;36606.00;-;-0.02%
19.9.2019;36611.50;36611.50;36611.50;36611.50;-;1.37%
18.9.2019;36117.00;36117.00;36117.00;36117.00;-;-0.02%
17.9.2019;36122.50;36122.50;36122.50;36122.50;-;0.43%
16.9.2019;35968.00;35968.00;35968.00;35968.00;0.00K;-0.04%
13.9.2019;35984.00;35984.00;35984.00;35984.00;0.34K;-0.01%
12.9.2019;35989.00;35989.00;35989.00;35989.00;-;-0.02%
11.9.2019;35994.50;35994.50;35994.50;35994.50;-;2.84%
10.9.2019;35000.00;35000.00;35000.00;35000.00;-;-0.15%
9.9.2019;35051.00;35051.00;35051.00;35051.00;-;-0.05%
6.9.2019;35067.00;35067.00;35067.00;35067.00;-;-0.01%
5.9.2019;35072.00;35072.00;35072.00;35072.00;-;1.43%
4.9.2019;34578.00;34578.00;34578.00;34578.00;0.01K;2.96%
3.9.2019;33584.00;33584.00;33584.00;33584.00;-;-0.02%
2.9.2019;33590.00;33590.00;33590.00;33590.00;-;4.20%
30.8.2019;32235.00;32235.00;32235.00;32235.00;-;0.00%
29.8.2019;32235.00;32235.00;32235.00;32235.00;-;0.00%
28.8.2019;32235.00;32235.00;32235.00;32235.00;-;-0.03%
27.8.2019;32246.00;32246.00;32246.00;32246.00;-;-0.08%
23.8.2019;32273.00;32273.00;32273.00;32273.00;-;0.00%
22.8.2019;32273.00;32273.00;32273.00;32273.00;0.00K;-0.02%
21.8.2019;32278.00;32278.00;32278.00;32278.00;-;-0.02%
20.8.2019;32283.00;32283.00;32283.00;32283.00;-;0.52%
19.8.2019;32117.50;32117.50;32117.50;32117.50;0.02K;-0.06%
16.8.2019;32135.50;32135.50;32135.50;32135.50;-;0.00%
15.8.2019;32135.50;32135.50;32135.50;32135.50;0.01K;6.98%
14.8.2019;30040.00;30040.00;30040.00;30040.00;0.31K;-0.01%
13.8.2019;30044.00;30044.00;30044.00;30044.00;-;-3.23%
12.8.2019;31048.00;31048.00;31048.00;31048.00;-;10.63%
9.8.2019;28065.50;28065.50;28065.50;28065.50;-;0.00%
8.8.2019;28065.50;28065.50;28065.50;28065.50;-;0.70%
7.8.2019;27870.00;27870.00;27870.00;27870.00;-;-0.02%
6.8.2019;27875.00;27875.00;27875.00;27875.00;-;8.70%
5.8.2019;25644.50;25644.50;25644.50;25644.50;-;-0.07%
2.8.2019;25662.00;25662.00;25662.00;25662.00;-;0.00%
1.8.2019;25662.00;25662.00;25662.00;25662.00;-;-0.02%
31.7.2019;25666.00;25666.00;25666.00;25666.00;-;-0.02%
30.7.2019;25670.00;25670.00;25670.00;25670.00;-;-0.02%
29.7.2019;25674.00;25674.00;25674.00;25674.00;-;-0.07%
26.7.2019;25691.00;25691.00;25691.00;25691.00;-;-7.22%
25.7.2019;27691.00;27691.00;27691.00;27691.00;0.05K;-0.01%
24.7.2019;27695.00;27695.00;27695.00;27695.00;-;-0.01%
23.7.2019;27699.00;27699.00;27699.00;27699.00;-;-0.01%
22.7.2019;27703.00;27703.00;27703.00;27703.00;-;-0.06%
19.7.2019;27721.00;27721.00;27721.00;27721.00;-;0.00%
18.7.2019;27721.00;27721.00;27721.00;27721.00;-;-0.01%
17.7.2019;27725.00;27725.00;27725.00;27725.00;0.06K;-0.01%
16.7.2019;27729.00;27729.00;27729.00;27729.00;-;0.53%
15.7.2019;27584.00;27584.00;27584.00;27584.00;0.01K;3.49%
12.7.2019;26654.00;26654.00;26654.00;26654.00;0.02K;-0.02%
11.7.2019;26658.00;26658.00;26658.00;26658.00;0.01K;-0.03%
10.7.2019;26665.00;26665.00;26665.00;26665.00;-;0.00%
9.7.2019;26664.00;26664.00;26664.00;26664.00;0.31K;-6.83%
8.7.2019;28620.00;28620.00;28620.00;28620.00;-;-0.02%
5.7.2019;28625.00;28625.00;28625.00;28625.00;-;-0.02%
4.7.2019;28630.00;28630.00;28630.00;28630.00;-;-0.03%
3.7.2019;28640.00;28640.00;28640.00;28640.00;-;0.00%
2.7.2019;28640.00;28640.00;28640.00;28640.00;-;-0.02%
1.7.2019;28645.00;28645.00;28645.00;28645.00;-;-0.02%
28.6.2019;28650.00;28650.00;28650.00;28650.00;-;-0.42%
27.6.2019;28770.00;28770.00;28770.00;28770.00;-;3.17%
26.6.2019;27885.00;27885.00;27885.00;27885.00;-;-0.41%
25.6.2019;28000.00;28000.00;28000.00;28000.00;-;0.00%
24.6.2019;28000.00;28000.00;28000.00;28000.00;-;0.00%
21.6.2019;28000.00;28000.00;28000.00;28000.00;-;0.00%
20.6.2019;28000.00;28000.00;28000.00;28000.00;-;0.00%
17.6.2019;28000.00;28000.00;28000.00;28000.00;0.02K;0.00%
14.6.2019;28000.00;28000.00;28000.00;28000.00;0.00K;0.00%
13.6.2019;28000.00;28000.00;28000.00;28000.00;-;0.00%
12.6.2019;28000.00;28000.00;28000.00;28000.00;0.33K;0.00%
11.6.2019;28000.00;28000.00;28000.00;28000.00;-;0.00%
10.6.2019;28000.00;28000.00;28000.00;28000.00;-;0.00%
7.6.2019;28000.00;28000.00;28000.00;28000.00;-;-9.68%
6.6.2019;31000.00;31000.00;31000.00;31000.00;-;-3.13%
5.6.2019;32000.00;32000.00;32000.00;32000.00;0.00K;0.00%
4.6.2019;32000.00;32000.00;32000.00;32000.00;-;0.00%
3.6.2019;32000.00;32000.00;32000.00;32000.00;-;0.00%
31.5.2019;32000.00;32000.00;32000.00;32000.00;-;-4.48%
30.5.2019;33500.00;33500.00;33500.00;33500.00;-;0.00%
29.5.2019;33500.00;33500.00;33500.00;33500.00;-;0.00%
28.5.2019;33500.00;33500.00;33500.00;33500.00;-;0.00%
24.5.2019;33500.00;33500.00;33500.00;33500.00;-;-2.19%
23.5.2019;34250.00;34250.00;34250.00;34250.00;-;0.00%
22.5.2019;34250.00;34250.00;34250.00;34250.00;-;-0.72%
21.5.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
20.5.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
17.5.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
16.5.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
13.5.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
10.5.2019;34500.00;34500.00;34500.00;34500.00;0.03K;0.00%
9.5.2019;34500.00;34500.00;34500.00;34500.00;0.05K;0.00%
8.5.2019;34500.00;34500.00;34500.00;34500.00;0.31K;0.00%
7.5.2019;34500.00;34500.00;34500.00;34500.00;0.16K;0.00%
3.5.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
2.5.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
1.5.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
30.4.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
29.4.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
26.4.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
25.4.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
24.4.2019;34500.00;34500.00;34500.00;34500.00;-;0.00%
23.4.2019;34500.00;34500.00;34500.00;34500.00;-;-1.43%
18.4.2019;35000.00;35000.00;35000.00;35000.00;-;0.00%
15.4.2019;35000.00;35000.00;35000.00;35000.00;0.26K;1.45%
12.4.2019;34500.00;34500.00;34500.00;34500.00;0.21K;0.00%
11.4.2019;34500.00;34500.00;34500.00;34500.00;0.06K;4.55%
10.4.2019;33000.00;33000.00;33000.00;33000.00;-;0.00%
9.4.2019;33000.00;33000.00;33000.00;33000.00;-;3.13%
8.4.2019;32000.00;32000.00;32000.00;32000.00;0.06K;0.00%
5.4.2019;32000.00;32000.00;32000.00;32000.00;-;1.59%
4.4.2019;31500.00;31500.00;31500.00;31500.00;0.02K;0.00%
3.4.2019;31500.00;31500.00;31500.00;31500.00;0.00K;0.00%
2.4.2019;31500.00;31500.00;31500.00;31500.00;0.04K;5.00%
1.4.2019;30000.00;30000.00;30000.00;30000.00;0.01K;0.00%
29.3.2019;30000.00;30000.00;30000.00;30000.00;-;0.00%
28.3.2019;30000.00;30000.00;30000.00;30000.00;-;0.00%
27.3.2019;30000.00;30000.00;30000.00;30000.00;-;0.00%
26.3.2019;30000.00;30000.00;30000.00;30000.00;0.04K;0.00%
25.3.2019;30000.00;30000.00;30000.00;30000.00;-;0.00%
