date;open;high;low;close;volume
26.3.2019;179.489;181.75;174.5969;176.87;17587678
27.3.2019;177.9;179.77;173.7;176.5;11859294
28.3.2019;177.55;179.9;175.11;177.25;12006602
29.3.2019;179.94;180.54;177.91;179.56;11422379
1.4.2019;183.26;183.5;180.3745;182.28;12095612
2.4.2019;183.25;184.7887;181.52;183;11022996
3.4.2019;185;191;184.8;188.62;19719468
4.4.2019;188;189.97;185.73;188.26;11434419
5.4.2019;190;191.65;188.53;190.95;12043649
8.4.2019;189.72;192.8;188.75;191.79;10604848
9.4.2019;190.44;190.89;187.56;189.26;10999320
10.4.2019;189.23;193.14;189.05;192.1;11119307
11.4.2019;192.2;193.47;189.55;191.54;9365037
12.4.2019;193.1;193.26;189.66;190.01;10502730
15.4.2019;189.7;189.9;183.1;184.7;11002345
16.4.2019;186.28;188.97;184.9641;188.21;9874091
17.4.2019;189.62;190.46;186.39;187.29;8775068
18.4.2019;187.56;188.93;185.18;186.3;9524704
22.4.2019;185.35;189.1;184.08;188.47;6998388
23.4.2019;189;191.93;188.61;190.67;8671381
24.4.2019;191.09;192.81;188.64;191.17;7955120
25.4.2019;189.55;190.45;183.7;186.91;12482437
26.4.2019;180.71;180.8876;173.3;178.09;21724729
29.4.2019;178.41;180.45;175.5;179.33;9797983
30.4.2019;178.03;182.03;177.26;181;9073040
1.5.2019;183.11;184.81;180.46;180.47;8857031
2.5.2019;180.86;184.87;179.115;183.19;9867135
3.5.2019;183.53;183.93;180.53;183.01;8420587
6.5.2019;175.5;180.34;174;179.85;10554445
7.5.2019;177.9;177.9;171.17;173.11;13880458
8.5.2019;172;177.15;171.52;173.92;10479154
9.5.2019;171.14;171.53;165.4;170.19;16506164
10.5.2019;168.95;171.59;164;168.82;14237451
13.5.2019;163.5;164.43;157.81;158.45;16422819
14.5.2019;160.05;163.46;158.4904;162.04;13121972
15.5.2019;159.8;161.05;157.41;159.58;12558001
16.5.2019;159.36;161.905;157.65;160.19;19527204
17.5.2019;158.5;163.71;154.94;156.53;25551698
20.5.2019;152.55;154.77;150.75;151.75;14301634
21.5.2019;154.2;155.7;152.64;155.06;9046247
22.5.2019;153.5;154.55;151.76;152.2;8146740
23.5.2019;149.69;149.69;144.9112;147.32;14796109
24.5.2019;148.08;149.5;144.88;145.15;8939632
28.5.2019;145.86;147.18;143.25;143.33;10708852
29.5.2019;141.41;142.82;138.94;140.34;13995037
30.5.2019;140.31;141.7499;137.57;139.11;9857490
31.5.2019;137.14;138.4491;135.39;135.46;9742992
3.6.2019;135.91;137.47;132.6;133.78;11966080
4.6.2019;136.36;143.21;135.4675;143;16045885
5.6.2019;145.97;146.19;139.82;141.28;12790385
6.6.2019;141.45;144.77;141.35;143.78;10203462
7.6.2019;144.02;146.88;143.25;145.5;8721438
10.6.2019;147.76;151.19;147.76;148.43;10069522
11.6.2019;150.84;152.36;149.16;150.75;9596751
12.6.2019;149;149.25;145.59;146.2;8972298
13.6.2019;147.09;149;146.38;148.26;7702027
14.6.2019;144.51;145.49;142.836;144.64;9860656
17.6.2019;144.57;146.5206;143.65;145.03;6901037
18.6.2019;147.5;155.11;147.06;152.88;14547950
19.6.2019;154.3;154.7568;152.0738;153.12;8291099
20.6.2019;156.77;157.33;153.5178;154.1;8754182
21.6.2019;153.5;155.48;151.5;151.76;10860672
24.6.2019;152.62;153.85;150.72;152.66;7073718
25.6.2019;152.86;155.88;151.37;151.48;7796661
26.6.2019;156.61;161.72;156.09;159.26;14601825
27.6.2019;162.71;164;161.26;163.23;11136038
28.6.2019;165;165.37;162.35;164.23;9941659
1.7.2019;172.57;173.95;164.66;166.17;17788327
2.7.2019;165.5;166.3493;161.7;162.23;10005688
3.7.2019;163.17;163.4;160.3415;162.75;6165856
5.7.2019;160.4;160.58;157.68;160.23;9913847
8.7.2019;157.83;158.59;156;157.21;8244669
9.7.2019;155.51;158.44;155;157.31;8571512
10.7.2019;159.06;162.3689;158.5;160.06;11301899
11.7.2019;163;167.92;161.5;166.28;17063964
12.7.2019;167.4;170.47;167.4;167.61;12659816
15.7.2019;168.46;169.1058;166.13;167.27;7245993
16.7.2019;166.67;168.17;164.8425;167.08;8536098
17.7.2019;167.15;169.99;165.974;169.71;8705107
18.7.2019;170.125;172.71;167.85;170.18;11079474
19.7.2019;171.72;171.98;168.2;168.44;8622395
22.7.2019;169.3;171.84;169;171.32;7898498
23.7.2019;172.9;175.74;172.27;175.66;10704414
24.7.2019;177.4;178.89;174.34;178.66;9155937
25.7.2019;176.99;177.5;172.44;173.38;9817453
26.7.2019;174.47;176.95;174.47;175.07;6853997
29.7.2019;174.78;175.4697;171.27;174.82;6204049
30.7.2019;172.95;175.94;172.37;175.45;4944261
31.7.2019;174.18;174.215;167.02;168.72;8985391
1.8.2019;169.14;172.78;162.8204;164.92;10530314
2.8.2019;161.19;163.98;159.28;161.19;10708732
5.8.2019;153.8;153.85;148.9;150.79;14728936
6.8.2019;153.8;155.63;150.43;152.35;9031767
7.8.2019;149.9;154.37;149.2;153.89;9314045
8.8.2019;156.21;158.31;153.9;158.26;7732472
9.8.2019;156.61;156.75;152.15;154.18;8545418
12.8.2019;152.08;154.18;150.57;151.45;6980012
13.8.2019;151.39;157.9;149.8201;156.05;9012811
14.8.2019;152.5035;152.95;148.3111;150.07;10497033
15.8.2019;150.83;151.63;147.394;148.77;13861551
16.8.2019;159.35;161.54;156.88;159.56;25384628
19.8.2019;164.12;171.42;163.47;170.78;20408061
20.8.2019;170.56;170.58;167.02;167.87;11588040
21.8.2019;170.53;173.45;169.66;171.23;10697773
22.8.2019;171.62;173.33;169.9045;171.48;7593918
23.8.2019;168.4;170.59;161.64;162.44;14237433
26.8.2019;165.61;166.58;163.91;165.45;7964854
27.8.2019;166.99;167.1;160.62;161.8;7288739
28.8.2019;160.58;163.34;159;161.22;6395703
29.8.2019;164.9;168.3;164.76;167;8959326
30.8.2019;168.86;170.86;166.78;167.51;7272712
3.9.2019;164.58;165.91;163.252;164.17;7412770
4.9.2019;166.61;169.06;166.61;168.76;5703009
5.9.2019;172.865;179.99;172.8;179.74;17412125
6.9.2019;178.8;181.09;177.12;178.65;9367652
9.9.2019;179.9;183.98;179.84;180.5;10438133
10.9.2019;179.18;184.25;178.79;183.18;8820305
11.9.2019;183.77;186.27;182.6006;184.33;9037782
12.9.2019;186.2;188.4;183.95;184.27;8196025
13.9.2019;181.59;183.08;180.18;181.94;8114787
16.9.2019;178.92;181.6;178.5;180.21;5795796
17.9.2019;180.48;181.2356;178.61;181.07;5711828
18.9.2019;180.79;181.42;176.5;179.98;6600942
19.9.2019;180.22;180.96;176.5101;176.94;6408569
20.9.2019;176.9;177.85;172.28;172.69;8931295
23.9.2019;172.7;176.67;172.55;174.84;6395647
24.9.2019;176.1;177.29;171.1;172.53;8031045
25.9.2019;172.51;179.02;170.71;178.23;7827672
26.9.2019;177.84;178.19;175.29;177.34;5945648
27.9.2019;175.66;177.7;169.32;171.76;9148974
30.9.2019;172.8;174.48;171.5401;174.07;4829977
1.10.2019;175;181;173.81;174;9189150
2.10.2019;173.12;173.6;170.13;173.04;7391544
3.10.2019;173.22;181.56;172;181.31;11568265
4.10.2019;181.4;183.15;178.78;181.97;6699005
7.10.2019;184.58;188.34;184.23;184.33;12207839
8.10.2019;180.64;180.64;176.5;177.23;11233566
9.10.2019;180.32;182.7;179.1601;180.71;7697082
10.10.2019;180.62;185.08;180.41;183.03;8187889
