date, value
2019-03-25,58.8200
2019-03-26,59.9400
2019-03-27,59.4100
2019-03-28,59.3000
2019-03-29,60.1400
2019-04-01,61.5900
2019-04-02,62.5800
2019-04-03,62.4600
2019-04-04,62.1000
2019-04-05,63.0800
2019-04-08,64.4000
2019-04-09,63.9800
2019-04-10,64.6100
2019-04-11,63.5800
2019-04-12,63.8900
2019-04-15,63.4000
2019-04-16,64.0780
2019-04-17,63.8040
2019-04-18,64.0420
2019-04-22,65.5800
2019-04-23,66.3000
2019-04-24,65.8900
2019-04-25,65.2100
2019-04-26,63.3000
2019-04-29,63.5000
2019-04-30,63.9100
2019-05-01,63.6000
2019-05-02,61.8100
2019-05-03,61.9400
2019-05-06,62.2500
2019-05-07,61.4000
2019-05-08,62.1200
2019-05-09,61.7000
2019-05-10,61.6600
2019-05-13,61.0400
2019-05-14,61.7800
2019-05-15,62.0200
2019-05-16,62.9080
2019-05-17,62.8240
2019-05-20,63.1660
2019-05-21,63.1020
2019-05-22,61.4200
2019-05-23,57.9100
2019-05-24,58.6300
2019-05-28,59.1400
2019-05-29,58.8100
2019-05-30,56.5900
2019-05-31,53.5000
2019-06-03,53.2500
2019-06-04,53.4800
2019-06-05,51.6800
2019-06-06,52.5900
2019-06-07,53.9900
2019-06-10,53.2600
2019-06-11,53.2700
2019-06-12,51.1400
2019-06-13,52.2800
2019-06-14,52.5100
2019-06-17,51.9780
2019-06-18,53.9840
2019-06-19,53.8860
2019-06-20,56.9860
2019-06-21,57.4300
2019-06-24,57.9000
2019-06-25,57.8300
2019-06-26,59.3800
2019-06-27,59.4300
2019-06-28,58.4700
2019-07-01,59.0900
2019-07-02,56.2500
2019-07-03,57.3400
2019-07-05,57.5100
2019-07-08,57.6600
2019-07-09,57.8300
2019-07-10,60.4300
2019-07-11,60.2000
2019-07-12,60.2100
2019-07-15,59.5800
2019-07-16,57.6200
2019-07-17,56.8080
2019-07-18,55.3480
2019-07-19,55.7080
2019-07-22,56.2200
2019-07-23,56.7700
2019-07-24,55.8800
2019-07-25,56.0200
2019-07-26,56.2000
2019-07-29,56.8700
2019-07-30,58.0500
2019-07-31,58.5800
2019-08-01,53.9500
2019-08-02,55.6600
2019-08-05,54.6900
2019-08-06,53.6300
2019-08-07,51.0900
2019-08-08,52.5400
2019-08-09,54.5000
2019-08-12,54.9300
2019-08-13,57.1000
2019-08-14,55.2300
2019-08-15,54.4600
2019-08-16,54.8460
2019-08-19,56.1680
2019-08-20,56.1720
2019-08-21,55.6800
2019-08-22,55.3500
2019-08-23,54.1700
2019-08-26,53.6400
2019-08-27,54.9300
2019-08-28,55.7800
2019-08-29,56.7100
2019-08-30,55.1000
2019-09-03,53.9400
2019-09-04,56.2600
2019-09-05,56.3000
2019-09-06,56.5200
2019-09-09,57.8500
2019-09-10,57.4000
2019-09-11,55.7500
2019-09-12,55.0900
2019-09-13,54.8500
2019-09-16,62.9000
2019-09-17,59.2920
2019-09-18,58.0820
2019-09-19,58.1660
2019-09-20,58.0900
2019-09-23,58.6400
2019-09-24,57.2900
2019-09-25,56.4900
2019-09-26,56.4100
2019-09-27,55.9100
2019-09-30,54.0700
2019-10-01,53.6200
2019-10-02,52.6400
2019-10-03,52.4500
2019-10-04,52.8100
2019-10-07,52.7500
2019-10-08,52.6300
2019-10-09,52.5900
2019-10-10,53.5500
2019-10-11,54.7000
2019-10-14,53.5900
2019-10-15,52.8100
