date;open_price_ethereum;close_price_ethereum;volume_ethereum;market_cap_ethereum
12.10.2019;182.53;180.83;7494328840;19551368532
11.10.2019;191.80;182.57;9128522970;19737401838
10.10.2019;193.19;191.66;8375913276;20717535747
9.10.2019;182.04;193.29;9088122101;20891536595
8.10.2019;181.11;182.02;7466282780;19670825764
7.10.2019;172.94;181.19;7844316834;19578142143
6.10.2019;176.36;173.06;5852890674;18697637484
5.10.2019;176.95;176.35;5837211771;19050956367
4.10.2019;175.24;176.99;6248928449;19116991692
3.10.2019;180.70;175.20;6381403725;18921747814
2.10.2019;177.22;180.71;6335595250;19514521236
1.10.2019;180.21;177.34;7676276225;19148222892
30.9.2019;170.46;179.87;7552915148;19419149343
29.9.2019;174.61;170.50;6497088199;18405401315
28.9.2019;174.68;174.57;6895423445;18842313324
27.9.2019;166.65;174.71;7909313625;18854855889
26.9.2019;170.76;166.73;7848286154;17991000062
25.9.2019;168.13;170.89;9766632018;18438188568
24.9.2019;201.84;168.11;11757739233;18135747380
23.9.2019;211.71;201.92;7494673136;21780534855
22.9.2019;215.49;211.55;7812854576;22815755536
21.9.2019;217.90;215.52;7743309778;23241121351
20.9.2019;221.07;218.05;8027974273;23511410671
19.9.2019;211.25;221.28;10620070913;23856751722
18.9.2019;208.05;211.39;9194634557;22787891774
17.9.2019;197.11;208.61;10232590812;22484889435
16.9.2019;189.69;197.11;8242029488;21243167877
15.9.2019;188.07;189.79;6222874780;20451239362
14.9.2019;181.32;188.11;6500686511;20267272633
13.9.2019;180.98;181.11;5955041237;19511050764
12.9.2019;178.80;181.02;5838605477;19498542852
11.9.2019;179.84;178.73;7157139035;19249367782
10.9.2019;181.21;179.79;6291476772;19361276593
9.9.2019;181.36;181.15;7232938985;19505534124
8.9.2019;178.28;181.36;6472677266;19525276831
7.9.2019;169.96;178.26;6791531342;19189873689
6.9.2019;174.17;169.96;6797611878;18293376881
5.9.2019;175.97;174.22;5589476516;18749645579
4.9.2019;179.49;175.99;5938120494;18938360723
3.9.2019;178.36;179.50;6962728938;19313265198
2.9.2019;171.70;178.35;6503447137;19186913439
1.9.2019;172.46;171.63;5554799576;18461846968
31.8.2019;168.89;172.47;5830212249;18549906272
