date;open_price_litecoin;close_price_litecoin;volume_litecoin;market_cap_litecoin
11.10.2019;57.77;56.30;2441054545;3571918357
10.10.2019;59.40;57.78;2440262585;3665380676
9.10.2019;57.42;59.43;2790624239;3769908817
8.10.2019;57.79;57.40;2417116506;3640571611
7.10.2019;55.34;57.79;2891486029;3664860552
6.10.2019;56.84;55.41;2381501439;3513746874
5.10.2019;56.81;56.84;2063875681;3604148251
4.10.2019;56.52;56.85;2292624175;3604329719
3.10.2019;56.53;56.55;2221643896;3584521184
2.10.2019;56.01;56.51;2113331224;3581752017
1.10.2019;56.09;56.06;2325767310;3552792224
30.9.2019;54.31;56.06;2241248501;3552325139
29.9.2019;55.71;54.32;1825233237;3441861229
28.9.2019;56.42;55.68;1975938676;3527794899
27.9.2019;55.57;56.36;2324084589;3570419888
26.9.2019;57.66;55.54;2663433163;3518070664
25.9.2019;55.83;57.66;3360298410;3651789616
24.9.2019;66.84;55.82;3919809840;3535218521
23.9.2019;72.61;66.85;3215899051;4233164124
22.9.2019;73.51;72.62;2494428147;4597645596
21.9.2019;75.18;73.52;2572614027;4654112106
20.9.2019;76.96;75.15;3148504140;4756922829
19.9.2019;77.92;77.06;3778427056;4877292702
18.9.2019;74.23;77.97;3665577129;4934275012
17.9.2019;72.59;74.22;3104946341;4696563797
16.9.2019;70.32;72.57;2652253522;4591727205
15.9.2019;70.59;70.32;2330572400;4448378327
14.9.2019;69.02;70.56;2439744085;4463527330
13.9.2019;69.23;68.99;2368931048;4363467464
12.9.2019;69.96;69.23;2316445209;4377939287
11.9.2019;70.88;69.92;2569282757;4421472828
10.9.2019;70.13;70.82;2893715133;4477994431
9.9.2019;70.62;70.19;2654086135;4437564022
8.9.2019;69.02;70.55;2776939870;4459610897
7.9.2019;65.24;69.04;2763572250;4363628897
6.9.2019;65.39;65.23;2595201216;4122321157
5.9.2019;67.31;65.40;2379080140;4132391771
4.9.2019;69.18;67.29;2696779274;4251369351
3.9.2019;66.99;69.13;2816706430;4367373936
2.9.2019;66.11;66.94;2400017919;4228918428
1.9.2019;64.56;66.14;2228146663;4177872605
31.8.2019;64.36;64.58;2283340831;4078358696
30.8.2019;64.08;64.33;2377466438;4062542325
29.8.2019;67.36;64.10;3092332444;4047272938
28.8.2019;72.90;67.43;2883041616;4256892976
27.8.2019;73.93;72.84;2489689274;4597966230
26.8.2019;72.32;73.86;3046136697;4661893373
25.8.2019;73.47;72.31;2227400267;4563612040
24.8.2019;75.41;73.46;2191973575;4636016950
23.8.2019;73.58;75.40;2496513401;4757819433
22.8.2019;72.95;73.60;2908864703;4643456772
21.8.2019;75.24;72.96;2878567011;4602987629
20.8.2019;77.30;75.20;2430165429;4743207580
19.8.2019;76.34;77.26;2346796021;4873084523
18.8.2019;72.84;76.27;2743241606;4809876077
17.8.2019;74.91;72.80;2482385549;4590467351
16.8.2019;76.32;74.92;3016089036;4723824771
15.8.2019;76.13;76.39;3654075558;4815969361
14.8.2019;84.42;76.06;3093090406;4794992635
13.8.2019;85.75;84.41;2681787838;5320229477
12.8.2019;89.70;85.75;2716187719;5404272824
11.8.2019;85.45;89.75;3025787942;5655924170
10.8.2019;84.39;85.42;3088060147;5382272086
9.8.2019;90.09;84.44;3003278177;5319984195
8.8.2019;90.91;90.03;3034717882;5671748769
7.8.2019;93.04;90.91;3105989436;5726708990
6.8.2019;96.89;93.07;3245339849;5861986121
5.8.2019;93.09;96.83;4134352823;6098470159
4.8.2019;94.60;93.20;2427608117;5868857449
3.8.2019;95.02;94.58;2512959054;5954227577
2.8.2019;99.20;94.94;2882784454;5975497672
1.8.2019;98.57;99.18;2953184689;6240801535
31.7.2019;90.47;98.51;3051471469;6197337878
30.7.2019;90.47;90.57;2302521844;5696275523
29.7.2019;89.77;90.43;2457824867;5686062706
28.7.2019;88.89;89.77;2460180908;5643415873
27.7.2019;94.32;88.89;2626517608;5586678799
26.7.2019;93.41;94.31;2260844511;5925662076
25.7.2019;94.36;93.45;2690273677;5870441888
24.7.2019;90.46;94.31;3247150970;5923434071
23.7.2019;95.41;90.62;2700924026;5690513769
22.7.2019;99.56;95.42;2693989249;5990269582
21.7.2019;100.51;99.63;2829054215;6253213998
20.7.2019;98.46;100.61;3771308934;6313476233
19.7.2019;101.08;98.40;3983990085;6173653347
18.7.2019;89.69;101.09;4890332056;6340559063
17.7.2019;79.41;89.81;4616360556;5632042532
16.7.2019;90.90;79.50;3703346636;4984318767
15.7.2019;89.86;90.92;3570361793;5699307530
14.7.2019;101.11;89.77;3717531246;5625773339
13.7.2019;105.29;101.02;3353538171;6329505235
12.7.2019;102.83;105.30;3611846208;6595612500
11.7.2019;108.57;102.64;4633853162;6427725958
10.7.2019;119.50;108.50;4699511838;6792744022
9.7.2019;123.25;119.43;3785641025;7475393728
8.7.2019;120.28;123.29;3803750017;7714781783
7.7.2019;118.03;120.32;3348662401;7527688155
6.7.2019;118.38;117.82;3484378308;7369730846
5.7.2019;119.84;118.35;4110868217;7401137488
4.7.2019;122.50;119.98;4564200301;7501164315
3.7.2019;119.33;122.56;4529682890;7661188686
2.7.2019;122.56;119.24;4761878443;7451762463
1.7.2019;122.11;122.58;5034162436;7658690466
30.6.2019;133.72;122.25;5525273220;7636046758
29.6.2019;120.16;133.66;5745785825;8347117542
28.6.2019;114.41;120.15;4683311766;7501601230
27.6.2019;131.22;114.40;5588611122;7141234400
26.6.2019;136.48;131.27;5565887285;8191677323
25.6.2019;135.58;136.49;4411092400;8515726713
24.6.2019;136.92;135.53;3907725105;8454028780
23.6.2019;141.95;136.88;3998980168;8536077179
22.6.2019;139.04;141.90;5488615002;8847068564
21.6.2019;135.51;138.88;4378260963;8656823083
20.6.2019;136.60;135.48;3880682308;8442646197
19.6.2019;135.15;136.60;4383960510;8510498678
18.6.2019;134.47;135.16;3720828769;8418405570
17.6.2019;137.13;134.44;3230230843;8371507504
16.6.2019;138.15;137.12;4372645801;8536706967
15.6.2019;133.18;138.13;4329002013;8597209351
14.6.2019;131.31;133.05;4352005824;8279439669
13.6.2019;135.68;131.35;4947794845;8171623427
12.6.2019;136.09;135.65;5855623530;8437276930
