date;open_price_maker;close_price_maker;volume_maker;market_cap_maker
11.10.2019;535.18;507.65;13260531;507654726
10.10.2019;533.74;534.05;11051441;534050886
9.10.2019;453.49;538.31;11665114;538306606
8.10.2019;455.91;453.48;10098044;453481782
7.10.2019;436.28;455.44;11539883;455443301
6.10.2019;443.20;435.64;11868192;435640432
5.10.2019;446.22;442.89;13866477;442893719
4.10.2019;441.21;445.15;11034174;445146130
3.10.2019;452.55;437.76;8256985;437756123
2.10.2019;455.42;450.71;10294652;450706283
1.10.2019;449.80;454.45;11457079;454451452
30.9.2019;429.84;453.36;8805015;453359666
29.9.2019;445.23;430.22;8370084;430221630
28.9.2019;456.13;443.65;10618275;443653158
27.9.2019;452.70;451.10;13406794;451097174
26.9.2019;447.61;448.22;9414506;448217440
25.9.2019;441.72;444.84;11743543;444843854
24.9.2019;506.54;439.27;11912259;439268266
23.9.2019;527.84;506.00;15063652;505997620
22.9.2019;550.60;528.60;10665537;528596953
21.9.2019;558.36;547.99;13794780;547994046
20.9.2019;540.30;556.23;13421343;556226966
19.9.2019;525.29;547.95;13692214;547953758
18.9.2019;504.76;525.27;14129904;525266161
17.9.2019;463.39;504.85;12536278;504853781
16.9.2019;475.02;463.75;11938595;463753745
15.9.2019;458.29;474.48;10248673;474484180
14.9.2019;457.35;462.87;13679413;462873546
13.9.2019;461.80;454.10;9414430;454096202
12.9.2019;466.10;458.14;11969143;458139283
11.9.2019;478.86;469.91;10828175;469910194
10.9.2019;478.08;478.09;11168539;478085943
9.9.2019;447.42;480.44;13057870;480436729
8.9.2019;445.16;449.19;12872900;449193485
7.9.2019;422.06;442.29;14033338;442288041
6.9.2019;461.52;420.48;17949497;420481947
5.9.2019;463.24;461.52;14230896;461520395
4.9.2019;475.48;468.37;14450718;468372200
3.9.2019;474.40;478.10;14473054;478104392
2.9.2019;474.49;479.71;14872172;479710355
1.9.2019;472.53;467.56;14496351;467561614
31.8.2019;475.28;474.91;14747752;474911544
30.8.2019;466.41;477.21;14718268;477212591
29.8.2019;478.79;466.41;13566617;466411551
28.8.2019;523.98;478.81;13240560;478809865
27.8.2019;517.55;523.91;9525757;523909852
26.8.2019;500.57;517.56;1984247;517559368
25.8.2019;504.67;501.20;1795672;501196720
24.8.2019;509.02;504.46;2012884;504456054
23.8.2019;497.95;509.05;1917705;509045538
22.8.2019;494.31;497.95;1951484;497948429
21.8.2019;511.57;494.31;2086405;494314129
20.8.2019;517.48;511.51;2128985;511514120
19.8.2019;516.56;517.48;2112281;517482708
18.8.2019;518.79;516.56;2607749;516562437
17.8.2019;504.37;518.86;2133883;518863554
16.8.2019;477.41;504.40;2476006;504401522
15.8.2019;450.29;477.33;2459470;477325967
14.8.2019;472.90;449.86;2643834;449856664
13.8.2019;486.01;472.89;2158767;472889117
12.8.2019;509.75;485.92;1886901;485919361
11.8.2019;495.35;509.71;1459438;509706631
10.8.2019;504.46;495.46;1612976;495455891
9.8.2019;538.96;504.46;7830305;504456035
8.8.2019;548.44;539.06;2030230;539059853
7.8.2019;558.35;548.36;1401969;548356231
6.8.2019;593.08;558.45;2379143;558454861
5.8.2019;588.99;593.03;1544082;593031574
4.8.2019;598.14;589.09;1322800;589088254
3.8.2019;601.48;598.09;1515498;598089659
2.8.2019;599.82;601.60;1337621;601598756
1.8.2019;589.74;599.78;1283289;599777232
31.7.2019;573.45;589.63;1713914;589629493
30.7.2019;568.28;573.53;1396805;573525030
29.7.2019;576.06;567.85;1881185;567852810
28.7.2019;578.90;576.58;1305613;576580356
27.7.2019;594.91;578.57;1918790;578573196
26.7.2019;582.11;595.06;1764334;595060946
25.7.2019;584.99;582.37;1685138;582368347
24.7.2019;566.30;584.99;1951806;584986964
23.7.2019;554.74;566.30;1780303;566300240
22.7.2019;572.29;554.86;1981505;554860610
21.7.2019;570.81;572.49;1864077;572493598
20.7.2019;558.04;570.92;1868768;570921101
19.7.2019;560.11;554.70;1923264;554703333
18.7.2019;522.78;560.11;1980002;560109962
17.7.2019;505.25;522.68;5949870;522681255
16.7.2019;588.26;505.93;2531442;505925680
15.7.2019;590.49;587.84;2325975;587837670
14.7.2019;658.80;592.28;1757844;592277609
13.7.2019;663.94;658.59;1385917;658593377
12.7.2019;661.12;664.12;1415209;664117639
11.7.2019;695.91;660.50;1583957;660502836
10.7.2019;736.61;695.98;1736016;695983148
9.7.2019;708.95;736.43;2528387;736434549
8.7.2019;700.27;708.71;1272685;708714122
7.7.2019;661.32;700.24;1335301;700235192
6.7.2019;658.77;661.21;1576343;661207551
5.7.2019;630.77;658.79;1214369;658785909
4.7.2019;660.53;630.98;1134217;630975134
3.7.2019;605.31;660.62;1268286;660620939
2.7.2019;619.88;605.19;1666394;605193813
1.7.2019;644.01;620.09;1667421;620086766
30.6.2019;698.89;653.82;1535007;653822267
29.6.2019;702.27;699.38;1714502;699377807
28.6.2019;653.25;702.10;1356915;702096116
27.6.2019;742.29;652.28;1513714;652277791
26.6.2019;758.50;742.08;2322685;742082684
25.6.2019;736.22;758.58;930061;758581572
