date;open_price_monero;close_price_monero;volume_monero;market_cap_monero
11.10.2019;55.94;54.48;64153788;940029677
10.10.2019;57.40;55.95;94627887;965261774
9.10.2019;55.86;57.45;75137371;990966872
8.10.2019;56.55;55.87;71783063;963677019
7.10.2019;55.45;56.55;83666858;975362936
6.10.2019;56.50;55.50;73400789;957040024
5.10.2019;57.60;56.50;79461840;974288042
4.10.2019;56.28;57.67;83529372;994323596
3.10.2019;56.06;56.27;85119061;970144700
2.10.2019;55.84;56.06;75303904;966418664
1.10.2019;56.87;55.84;72773127;962569246
30.9.2019;56.17;56.82;74691742;979256440
29.9.2019;58.00;56.16;63364565;967928071
28.9.2019;58.03;57.98;99077632;999114430
27.9.2019;57.54;58.04;143938186;1000086501
26.9.2019;59.87;57.57;135169851;991933619
25.9.2019;59.14;59.86;101072792;1031288247
24.9.2019;68.70;59.22;95665012;1020031003
23.9.2019;73.18;68.72;82509889;1183612640
22.9.2019;72.82;73.19;72664744;1260457544
21.9.2019;74.00;72.83;81569539;1254110607
20.9.2019;76.09;74.01;96275560;1274297482
19.9.2019;81.76;76.03;102437633;1308947290
18.9.2019;74.20;81.77;133480584;1407616896
17.9.2019;75.34;74.28;91576290;1278694194
16.9.2019;75.70;75.35;100063838;1296842627
15.9.2019;76.07;75.69;57294722;1302670693
14.9.2019;76.83;76.04;76842770;1308504093
13.9.2019;75.16;76.91;85283907;1323399134
12.9.2019;74.39;75.13;83013460;1292619735
11.9.2019;72.29;74.36;71687582;1279276461
10.9.2019;75.17;72.23;74484010;1242478097
9.9.2019;77.40;75.15;57047927;1292522716
8.9.2019;78.44;77.38;58161503;1330742273
7.9.2019;75.62;78.39;63405428;1348125193
6.9.2019;75.97;75.60;64191502;1299992029
5.9.2019;73.95;75.96;66866817;1306063901
4.9.2019;74.91;73.93;53928209;1270927261
3.9.2019;73.21;74.93;72236098;1288006651
2.9.2019;71.75;73.18;67068912;1257776999
1.9.2019;67.51;71.78;50287115;1233580704
31.8.2019;67.86;67.54;50249218;1160574931
30.8.2019;67.17;67.85;61604445;1165868721
29.8.2019;72.33;67.16;61387907;1153889513
28.8.2019;78.63;72.37;86518785;1243199619
27.8.2019;79.73;78.21;70865118;1343433234
26.8.2019;80.43;79.70;95830525;1369000475
25.8.2019;80.75;80.37;97178649;1380344265
24.8.2019;82.13;80.74;89694958;1386455561
23.8.2019;82.25;82.17;98854438;1410889709
22.8.2019;80.55;82.25;96683433;1412206741
21.8.2019;85.77;80.57;70469159;1383082153
20.8.2019;90.15;85.74;75036775;1471785010
19.8.2019;88.07;90.15;80391798;1547361966
18.8.2019;82.00;88.02;80774014;1510667110
17.8.2019;82.56;81.99;69658778;1406939951
16.8.2019;82.52;82.50;69374820;1415540444
15.8.2019;78.58;82.53;82268894;1415880189
14.8.2019;85.51;78.48;78512963;1346390717
13.8.2019;91.19;85.52;90797999;1466998910
12.8.2019;92.28;91.18;80671664;1563889794
11.8.2019;90.85;92.25;82229709;1582098858
10.8.2019;93.33;90.88;87008408;1558459811
9.8.2019;95.19;93.36;111949649;1600795220
8.8.2019;97.45;95.15;99485912;1631343466
7.8.2019;89.74;97.49;120008836;1671137373
6.8.2019;93.62;89.74;106237722;1538253617
5.8.2019;88.18;93.65;116283579;1605113036
4.8.2019;88.19;88.18;91749362;1511132702
3.8.2019;83.93;88.19;88705504;1511207047
2.8.2019;81.90;83.91;99591718;1437702120
1.8.2019;80.61;81.97;90181331;1404198476
31.7.2019;78.32;80.68;100162528;1382045010
30.7.2019;77.97;78.38;67774573;1342427133
29.7.2019;79.43;77.96;82931895;1335118265
28.7.2019;78.74;79.49;70562694;1361217352
27.7.2019;80.29;78.87;85930847;1350377898
26.7.2019;80.70;80.29;80951330;1374678152
25.7.2019;80.47;80.68;88391921;1381198719
24.7.2019;80.86;80.49;90737838;1377718783
23.7.2019;83.18;80.86;117356354;1383978460
22.7.2019;83.97;83.18;103711508;1423503928
21.7.2019;85.27;83.96;105487494;1436640154
20.7.2019;82.28;85.32;105663388;1459844265
19.7.2019;84.11;82.30;108366439;1407919893
18.7.2019;76.53;84.12;131312918;1438977050
17.7.2019;73.82;76.46;125827611;1307756308
16.7.2019;89.39;74.02;114381208;1265849090
15.7.2019;86.11;89.50;158841420;1530424275
14.7.2019;93.42;85.92;120701885;1469061989
13.7.2019;98.23;93.36;119385278;1596219703
12.7.2019;89.25;98.25;114154782;1679579414
11.7.2019;94.92;89.11;123706017;1523237156
10.7.2019;99.45;94.94;142132531;1622149374
9.7.2019;101.60;99.42;124628294;1698715191
8.7.2019;107.10;101.59;155828868;1735765875
7.7.2019;93.99;107.18;182719894;1831299478
6.7.2019;89.14;93.94;190744873;1604838213
5.7.2019;87.77;89.13;120405501;1522492252
4.7.2019;90.00;87.82;134452313;1499205621
3.7.2019;86.24;90.00;127688765;1536394646
2.7.2019;88.44;86.26;132861597;1472603336
1.7.2019;87.76;88.42;132758316;1509447308
30.6.2019;100.01;87.74;127287723;1497868509
29.6.2019;101.67;99.96;140176878;1706417589
28.6.2019;94.49;101.64;156736723;1734903691
27.6.2019;103.94;94.41;168991928;1611350888
26.6.2019;112.30;103.92;288013491;1773353877
25.6.2019;117.34;112.32;170290078;1916468211
24.6.2019;115.21;117.42;131784908;2003252007
23.6.2019;114.64;115.13;135554014;1964078843
22.6.2019;109.50;114.71;144831867;1956577412
21.6.2019;105.02;109.23;138943736;1863037984
20.6.2019;100.45;104.98;175272178;1790277384
19.6.2019;96.26;100.41;144587434;1712105522
18.6.2019;98.31;96.24;215721562;1640921609
17.6.2019;95.83;98.35;221680908;1676634643
16.6.2019;94.70;95.86;217991870;1634068689
15.6.2019;90.53;94.69;229735779;1613934877
14.6.2019;89.30;90.51;230462155;1542405342
13.6.2019;90.21;89.26;207794231;1521007233
12.6.2019;86.66;90.13;171933824;1535720966
11.6.2019;86.97;86.72;143282901;1477296748
10.6.2019;83.68;86.92;138555223;1480596731
9.6.2019;87.56;83.78;135848271;1427027279
8.6.2019;88.31;87.54;127524206;1490906391
7.6.2019;86.88;88.27;132272877;1503058479
6.6.2019;85.04;86.94;147136612;1480220684
5.6.2019;83.41;84.99;123787030;1446837936
4.6.2019;89.66;83.34;82412018;1418725215
3.6.2019;94.96;89.71;113138588;1526921143
2.6.2019;93.04;94.94;104335299;1615842702
