date;open_price_xrp;close_price_xrp;volume_xrp;market_cap_xrp
11.10.2019;0.272109;0.271099;1265760690;11702493149
10.10.2019;0.281551;0.272073;1383555182;11744507007
9.10.2019;0.278392;0.281627;1579225264;12156932944
8.10.2019;0.275829;0.278459;1518125769;12020170580
7.10.2019;0.257570;0.275685;1938984643;11900420320
6.10.2019;0.253434;0.257705;965338466;11112666133
5.10.2019;0.253608;0.253457;944304199;10929504865
4.10.2019;0.247924;0.253935;1078860456;10950104521
3.10.2019;0.253457;0.247860;1043933395;10688160807
2.10.2019;0.249618;0.253539;1093145013;10933024350
1.10.2019;0.256213;0.249565;1319433697;10761681803
30.9.2019;0.241383;0.255933;1662002377;11036254662
29.9.2019;0.242592;0.241388;931369885;10399003153
28.9.2019;0.244023;0.242571;978211509;10449975028
27.9.2019;0.243712;0.244021;1277746422;10512410924
26.9.2019;0.246448;0.243784;1387714462;10502200054
25.9.2019;0.235483;0.246441;1800796894;10616698451
24.9.2019;0.268686;0.235226;2114210733;10133548682
23.9.2019;0.278602;0.268675;1484938724;11574524621
22.9.2019;0.289460;0.278931;1242282758;12009356968
21.9.2019;0.294456;0.289443;1266771269;12461952068
20.9.2019;0.302455;0.294470;1558069366;12678417604
19.9.2019;0.313740;0.302441;2314376584;13021616393
18.9.2019;0.284163;0.313776;2548478917;13509644789
17.9.2019;0.260862;0.285013;1981364786;12262515974
16.9.2019;0.261574;0.260952;878264190;11227300186
15.9.2019;0.261170;0.261628;859761210;11256389684
14.9.2019;0.255485;0.261167;1005057194;11236551220
13.9.2019;0.254795;0.255551;869481607;10994948160
12.9.2019;0.255973;0.254811;974717877;10963094269
11.9.2019;0.258692;0.255956;992565704;11012382024
10.9.2019;0.259690;0.258671;975503111;11129180970
9.9.2019;0.263247;0.259562;1157441363;11157198091
8.9.2019;0.260777;0.263084;1043077809;11308589245
7.9.2019;0.252411;0.260687;962765309;11205531353
6.9.2019;0.256269;0.252340;1063044201;10846757543
5.9.2019;0.259912;0.256346;1050490375;11018940997
4.9.2019;0.263185;0.259905;1068332805;11171918974
3.9.2019;0.260838;0.263139;1162545093;11310944375
2.9.2019;0.258064;0.260820;1044772829;11211279067
1.9.2019;0.259171;0.258054;825579908;11092364972
31.8.2019;0.256195;0.259204;845142390;11141812866
30.8.2019;0.256951;0.256218;997071647;11013445816
29.8.2019;0.257461;0.257045;1279995807;11035685652
28.8.2019;0.269583;0.257450;1275267910;11053053032
27.8.2019;0.270899;0.269618;1028940804;11575485111
26.8.2019;0.269946;0.270788;1332395984;11625706519
25.8.2019;0.272612;0.270088;964693737;11589356109
24.8.2019;0.276543;0.272553;934380519;11695124196
23.8.2019;0.270575;0.276545;999419343;11866405277
22.8.2019;0.265802;0.270944;1065712731;11620983953
21.8.2019;0.275765;0.266261;1164536124;11420125836
20.8.2019;0.283159;0.275806;1056822925;11829516782
19.8.2019;0.282290;0.283328;1241578947;12152144825
18.8.2019;0.265714;0.282646;1216547019;12122901988
17.8.2019;0.261885;0.265721;1004931822;11396948393
16.8.2019;0.265075;0.261971;1133224404;11236137963
15.8.2019;0.263707;0.264882;1342788578;11360984400
14.8.2019;0.296719;0.263343;1794754610;11294964982
13.8.2019;0.300661;0.296639;853175560;12723035972
12.8.2019;0.302169;0.300322;762308356;12881006909
11.8.2019;0.298566;0.301915;838671654;12943909474
10.8.2019;0.297245;0.298721;1077459339;12806941381
9.8.2019;0.307567;0.297343;1021136188;12747895720
8.8.2019;0.311785;0.307661;907305889;13190251227
7.8.2019;0.311492;0.311969;967534123;13374954845
6.8.2019;0.324018;0.311326;1069603911;13347360882
