Column1;Column2
26.3.2019;32
27.3.2019;29
28.3.2019;31
29.3.2019;27
30.3.2019;23
31.3.2019;26
1.4.2019;31
2.4.2019;52
3.4.2019;64
4.4.2019;41
5.4.2019;34
6.4.2019;30
7.4.2019;33
8.4.2019;33
9.4.2019;36
10.4.2019;34
11.4.2019;32
12.4.2019;29
13.4.2019;28
14.4.2019;28
15.4.2019;28
16.4.2019;30
17.4.2019;29
18.4.2019;29
19.4.2019;31
20.4.2019;25
21.4.2019;27
22.4.2019;28
23.4.2019;31
24.4.2019;31
25.4.2019;28
26.4.2019;32
27.4.2019;23
28.4.2019;24
29.4.2019;26
30.4.2019;28
1.5.2019;28
2.5.2019;27
3.5.2019;29
4.5.2019;26
5.5.2019;27
6.5.2019;25
7.5.2019;30
8.5.2019;35
9.5.2019;30
10.5.2019;31
11.5.2019;40
12.5.2019;39
13.5.2019;39
14.5.2019;51
15.5.2019;51
16.5.2019;49
17.5.2019;41
18.5.2019;35
19.5.2019;39
20.5.2019;39
21.5.2019;38
22.5.2019;40
23.5.2019;31
24.5.2019;41
25.5.2019;30
26.5.2019;35
27.5.2019;44
28.5.2019;42
29.5.2019;37
30.5.2019;47
31.5.2019;36
1.6.2019;36
2.6.2019;34
3.6.2019;33
4.6.2019;42
5.6.2019;35
6.6.2019;34
7.6.2019;42
8.6.2019;41
9.6.2019;37
10.6.2019;39
11.6.2019;41
12.6.2019;35
13.6.2019;34
14.6.2019;46
15.6.2019;39
16.6.2019;42
17.6.2019;51
18.6.2019;100
19.6.2019;73
20.6.2019;59
21.6.2019;54
22.6.2019;61
23.6.2019;51
24.6.2019;51
25.6.2019;53
26.6.2019;69
27.6.2019;58
28.6.2019;48
29.6.2019;45
30.6.2019;39
1.7.2019;40
2.7.2019;40
3.7.2019;40
4.7.2019;38
5.7.2019;38
6.7.2019;31
7.7.2019;31
8.7.2019;38
9.7.2019;42
10.7.2019;40
11.7.2019;41
12.7.2019;40
13.7.2019;34
14.7.2019;33
15.7.2019;42
16.7.2019;50
17.7.2019;44
18.7.2019;39
19.7.2019;34
20.7.2019;30
21.7.2019;33
22.7.2019;34
23.7.2019;43
24.7.2019;36
25.7.2019;34
26.7.2019;32
27.7.2019;30
28.7.2019;31
29.7.2019;33
30.7.2019;34
31.7.2019;29
1.8.2019;27
2.8.2019;30
3.8.2019;26
4.8.2019;25
5.8.2019;35
6.8.2019;35
7.8.2019;32
8.8.2019;32
9.8.2019;29
10.8.2019;27
11.8.2019;24
12.8.2019;31
13.8.2019;27
14.8.2019;30
15.8.2019;32
16.8.2019;26
17.8.2019;23
18.8.2019;27
19.8.2019;29
20.8.2019;29
21.8.2019;28
22.8.2019;26
23.8.2019;26
24.8.2019;22
25.8.2019;24
26.8.2019;31
27.8.2019;31
28.8.2019;28
29.8.2019;30
30.8.2019;26
31.8.2019;20
1.9.2019;20
2.9.2019;26
3.9.2019;30
4.9.2019;26
5.9.2019;27
6.9.2019;27
7.9.2019;35
8.9.2019;21
9.9.2019;26
10.9.2019;25
11.9.2019;29
12.9.2019;27
13.9.2019;23
14.9.2019;23
15.9.2019;20
16.9.2019;24
17.9.2019;27
18.9.2019;32
19.9.2019;29
20.9.2019;26
21.9.2019;21
22.9.2019;20
23.9.2019;26
24.9.2019;38
25.9.2019;33
26.9.2019;28
27.9.2019;25
28.9.2019;20
29.9.2019;22
30.9.2019;25
1.10.2019;29
2.10.2019;24
3.10.2019;26
4.10.2019;23
5.10.2019;20
6.10.2019;22
7.10.2019;27
8.10.2019;26
9.10.2019;24
10.10.2019;26
