tweet_text;tweet_full_text;personal_mark
@pierre_rochard @AriDavidPaul @hodlonaut @PeterMcCormack @JaEsf @lopp @TuurDemeester @nic__carter @CryptoN_T… https://t.co/6A9kNE7lLK;@pierre_rochard @AriDavidPaul @hodlonaut @PeterMcCormack @JaEsf @lopp @TuurDemeester @nic__carter @CryptoN_T @MrHodl @Excellion @adam3us @gavinandresen No! We are all bitcoin lovers hurr durr!;0.2
@mindstatex @derekm00r3 @TweetyBirdbrain @BitcoinJerry @JamesBelding @Ahankara @cryptomanran @MrsG_MC I was having… https://t.co/E4F561FVz9;" @derekm00r3 @TweetyBirdbrain @BitcoinJerry @JamesBelding @Ahankara @cryptomanran @MrsG_MC I was having a chat the other day during a Bitcoin &amp; Beyond live stream. so she's still around  Also Derek might know. was she also operating a BSV block explorer that's shut down recently?";-0.2
Is Bitcoin coming to Facebook Messenger?  #Bitcoin #BitcoinNews #FacebookNews   https://t.co/1QbtyfyZU6;None;0
Top50 #Cryptocurrency IN/OUT update in last 12 hours (#crypto #bitcoin #altcoin): IN: $BCD OUT: $HT https://t.co/u2nM5wdEcc;None;0
Exciting news! Long #Bitcoin $BTC. short the bankers!! @APompliano https://t.co/lgdEcYI40y;According to a new report titled “Crypto ATM Market – Forecasts from 2019 to 2024.” the global market for cryptocurrency automated teller machines is expected to explode at a compound annual growth rate of 46.61% — reaching $183.779 million USD by 2024. https://t.co/1pMyK3FVys;0.4
Free mining bitcoin no deposit. Free Bitcoin  no need to invest. Free cloud mining. Verified by. Pay 100% $ Sign Up… https://t.co/Bbun8gjvsT;Free mining bitcoin no deposit. Free Bitcoin  no need to invest. Free cloud mining. Verified by. Pay 100% $ Sign Up - https://t.co/4svrg7rzfe https://t.co/7sHJ6qS6IQ;0.5
@ #1, Bitcoin with unit price of $3,984.45, market cap of $70,173,114,594 (50.65%), and 24 hr vol. of $10,709,482,973.1 (31.38%);None;0.2
Apple facing US import ban on some iPhones in #tech dispute SAN FRANCISCO — A mind-bending battle over some of the… https://t.co/GgTS0Q14kp;Apple facing US import ban on some iPhones in #tech dispute SAN FRANCISCO — A mind-bending battle over some of the technology used in iPhones became even more muddled Tuesday when a federal trade agency handed separate victories to ... https://t.co/53cdd9pynA #bitcoin #iot #data;-0.4
Learn more about Bitcoin on our site: https://t.co/zC6O2Xrv0Q https://t.co/yjOc8LWTrP;None;0
Total #crypto market cap is $132,516,120,189 USD #bitcoin #cryptocurrency $btc $eth #ethereum;None;0
"#BTC price increased! Buying @ $3945.27 &amp; Selling @ $3945.27  $btc $eth $etc $neo $dgb $dash $strat $eos $omg $pay $xrp $xmr $gas 😉";None;0.4
#cryptocurrency Price Analysis for #Bitsend #BSD : ⬆️ Last Hour Change : 1.79 % || 27-03-2019 02:00 Price in #USD :… https://t.co/ATLB0EXFhv;#cryptocurrency Price Analysis for #Bitsend #BSD : ⬆️ Last Hour Change : 1.79 % || 27-03-2019 02:00 Price in #USD : 0.0535564377 || Price in #EUR : 0.0475018288 New Price in #Bitcoin #BTC : 0.00001346 || #Coin Rank 741;0
Average Bitcoin market price is: USD 3,945.27, EUR 3,487.98;None;0
$BTC maximalist price (e.g. 100% dominance): $7,408 USD #bitcoin #cryptocurrency 👑 $crypto;None;0.2
27-Mar-19, 1:00 AM, BTC-Price: 3481.20, Last buy: 3471.70, Wavetrend: 7.21, Current Trade Return: 0.27pct;None;0
$BTC is now worth $3,983.92 (+0.24%) #BTC  ➡️ https://t.co/lNpLBdQRKt;None;0
#Electroneum is now at USD $0.0060118343 and BTC 0.0060118343 (Up 1.15% last 24 hours) #ETN GET ALERTS SENT DIRECTL… https://t.co/cpAHBCBxTU;"#Electroneum is now at USD $0.0060118343 and BTC 0.0060118343 (Up 1.15% last 24 hours) #ETN GET ALERTS SENT DIRECTLY TO YOUR INBOX =&gt; https://t.co/VAYWhvVHaj";0
Current BTC Price: $ 3,921.46. The 24H Change is 0.36%,  24H Volume is $ 15,174,814.2 and the current marketcap is… https://t.co/4e1OS72ESf;Current BTC Price: $ 3,921.46. The 24H Change is 0.36%,  24H Volume is $ 15,174,814.2 and the current marketcap is $ 69.06 B. #BTC #Ticker #CryptoTickerPro;0
#Cardano is now at USD $0.0622841951 and BTC 0.0622841951 (Up 19.2% last 7 days) #ADA GET ALERTS SENT DIRECTLY TO Y… https://t.co/NzbxqQyvaG;"#Cardano is now at USD $0.0622841951 and BTC 0.0622841951 (Up 19.2% last 7 days) #ADA GET ALERTS SENT DIRECTLY TO YOUR INBOX =&gt; https://t.co/ekFwApd7qT";0
You Suffer . . . But why !? Bitcoin just hit $3,943.88, time to remotely toggle your rig at home... #bitcoin;None;-0.8
A $XMR is worth 0.01330678 BTC;None;0
@ErikVoorhees Commodity currencies (digital or physical) fail to do any of these things.  Commodity currencies are… https://t.co/yQAfdspxPF;ErikVoorhees Commodity currencies (digital or physical) fail to do any of these things.  Commodity currencies are useful, however, in case of societal collapse.  That makes BTC and GLD a good hedge.;0
$ETH is now worth $135.46 (+0.20%) and 0.03404242 BTC (-0.12%) #ETH  ➡️ https://t.co/KYxFJ3q4Wc;None;0
Bitcoin [BTC] and other mineable cryptocurrencies account for around 70% of total market capitalization  #crypto https://t.co/R1W2lhg0b8;None;0
Top 10 Mentions on Twitter in the last hour - $BTC $XLM $XRP $ETH $LTC $EOS $BAT $NEO $TRX $BCH   More on… https://t.co/rchjjIalu1;Top 10 Mentions on Twitter in the last hour - $BTC $XLM $XRP $ETH $LTC $EOS $BAT $NEO $TRX $BCH   More on https://t.co/ke7SHQm6tN 🚀 https://t.co/3wgmLhCdEE;0
#Bitcoin Social Sentiment is currently MIXED (0%). Visit https://t.co/BCZzlVBhQH to find out why. $BTC $BTCUSD Wedn… https://t.co/EYWpaldvzP;#Bitcoin Social Sentiment is currently MIXED (0%). Visit https://t.co/BCZzlVBhQH to find out why. $BTC $BTCUSD Wednesday, 27 March 2019 12:00AM;0
$GNT is now worth $0.0820 (+0.94%) and 0.00002060 BTC (+0.64%) #GNT  ➡️ https://t.co/xEimydKpzO;None;0
OAXBTC is overbought on @binance #cryptocurrency #bitcoin #altcoins #btc #OAX;None;0
BitcoinAverage - bitcoin price index - ($ 3946.3) - https://t.co/z6cbnPDdmv #bitcoin https://t.co/KzwpJ1tHtR;None;0
BitcoinCore $BTCC stats:  price: $0.106 / 0.00002664 BTC  24h vol: 0.02 BTC BTC @ $ 3,983.92;None;0
$NEO is now worth $8.98 (+0.57%) and 0.00225601 BTC (+0.25%) #NEO  ➡️ https://t.co/IfL7bEdSRV;None;0
Current prices and changes in the last hour:  $BTC: $3984.45 | 0.27% $ETH: $135.40 | 0.13% $XRP: $0.305209 | 0.80%… https://t.co/1jhe2AfGUd;Current prices and changes in the last hour:  $BTC: $3984.45 | 0.27% $ETH: $135.40 | 0.13% $XRP: $0.305209 | 0.80% $LTC: $59.36 | 0.75% $EOS: $3.76 | 1.90% $BCH: $160.51 | 0.70% $BNB: $16.34 | -0.18% $USDT: $1.01 | 0.03% $XLM: $0.103352 | 0.33% $ADA: $0.062284 | 0.49%;0
"Check all here --&gt; https://t.co/S1I0bDpMr2  On #Kraken #DASH to #BTC -- &gt; 0.02247, volume --&gt; 4827  On #Binance… https://t.co/dWcbu05EQq";"Check all here --&gt; https://t.co/S1I0bDpMr2  On #Kraken #DASH to #BTC -- &gt; 0.02247, volume --&gt; 4827  On #Binance #BTC to #USD -- &gt; 3620.97, volume --&gt; 23565  On #Livecoin #BTC to #RUB -- &gt; 254243.80479, volume --&gt; 32  On #Exmo #ETH to #EUR -- &gt; 122.46734859, volume --&gt; 1294 https://t.co/CfApKJRZ95";0
$XRP is now worth $0.305 (+0.58%) and 0.00007657 BTC (+0.25%) #XRP  ➡️ https://t.co/rmGIxiU3Q2;None;0
Don't want to miss any of our public #crypto trading #signals? Want instant updates of our premium channel… https://t.co/DYDTegproh;Don't want to miss any of our public #crypto trading #signals? Want instant updates of our premium channel #performance?  Searching for #crypto news?  Get instantly notified on our public telegram channel  Join now at https://t.co/akfmLiArya  #DGB #SC #MFT #EOS #XVG #BTC #TRX https://t.co/OgPa1LBszd;0.2
$SC is now worth $0.00258 (+0.03%) and 0.00000065 BTC (0.00%) #SC  ➡️ https://t.co/bx0KmAC84b;None;0
Delta Exchange allows leverage trading to multiply profits. 15% reduced fees for 6 months. Start Trading!.  ➡️… https://t.co/ZeWAAmMqCd;Delta Exchange allows leverage trading to multiply profits. 15% reduced fees for 6 months. Start Trading!.  ➡️ https://t.co/JL5s3K68ud  #bitcoinnews #cryptotrading #bitcoin #bitcoins #cryptocurrency #cryptoexchange https://t.co/aOvZIaaIs5;0.2
$BTCUSD ALERT: 24hr volume was -34.43% lower than the 30 day average. Current price: $3921.45 $btc #bitcoin https://t.co/tVISMp2sqZ;None;-0.2
$BCH is now worth $161.47 (+1.40%) and 0.04057811 BTC (+1.08%) #BCH  ➡️ https://t.co/OBPowSSXLe;None;0
New Chrome Extension Exposes Twitter Users' Cryptocurrency Bias #twitter #cryptocurrency #browserextension… https://t.co/2jpCujvyIE;New Chrome Extension Exposes Twitter Users' Cryptocurrency Bias #twitter #cryptocurrency #browserextension #socialnetwork #opensourcemodel #bitsmart https://t.co/ruu4FcZWqQ;0.2
"This tweet, ""Get to know the QuarkChain pool of experts running the platform! https://t.co/Z0gWiNkwVX #QKC… https://t.co/GzOdG7Gzqi";"This tweet, ""Get to know the QuarkChain pool of experts running the platform! https://t.co/Z0gWiNkwVX #QKC #Blockchain #BTC #ETH #blockchaintechnology #sharding"" hasn't been tweeted more than 0 times.";0
"This tweet, ""Basic Attention Token Price Surges as $0.22 Seems Ripe for the Taking ➡️https://t.co/SPtSOMM3Y0 🗺️ ▶️… https://t.co/cQUVOjvtMV";"This tweet, ""Basic Attention Token Price Surges as $0.22 Seems Ripe for the Taking ➡️https://t.co/SPtSOMM3Y0 🗺️ ▶️https://t.co/eYXApMJlim #newsoftheweek #Bitcoin #blockchain #crypto https://t.co/hKrM7felG8"" hasn't been tweeted more than 0 times.";0
$LTC is now worth $59.32 (+0.70%) and 0.01490599 BTC (+0.37%) #LTC  ➡️ https://t.co/cScw5PqWEa;None;0
RT @_CryptoReporter: YouTube Accidently Runs Crypto-Ad Containing Malware  https://t.co/kHzQZAIKRG  #Blockchain #Crypto #BTC #EOS #ETH #bit…;YouTube Accidently Runs Crypto-Ad Containing Malware  https://t.co/kHzQZAIKRG  #Blockchain #Crypto #BTC #EOS #ETH #bitcoin #LTC #XLM #IOTA #NEO #dash #ETC #BCH #XRP #ZeCash #Cardano #ADA #IOHK #TRX #TMT #fintech;-0.2
$XMR is now worth $52.95 (-0.18%) and 0.01330524 BTC (-0.50%) #XMR  ➡️ https://t.co/UqSYMArARS;None;0
@DropXLemon @C3_Nik @galgitron @Bez1974 https://t.co/5mFnJwPW5A — can you honestly say smart $ (institutional inves… https://t.co/86JVnNhzK2;Ryan Zagone explains why PoW is useless for adoption. In the middle IMF’s Deputy General Counsel Ross Leckow! On the right side 2 bitcoin maximalist. https://t.co/Jh2N2E2sSz;-0.2
$XLM is now worth $0.1034 (+0.57%) and 0.00002598 BTC (+0.23%) #XLM  ➡️ https://t.co/2m9Ikbh8ow;None;0
Market Update: The price of #Bitcoin is currently $3978.20  #Crypto $BTC #BTC  View the coin here here: https://t.co/ycSnnrGeFC;None;0
Tone Vays Trading Bitcoin - From the Pyramids at Giza 😎  https://t.co/xNecc6i0RA https://t.co/ZIu8n4OhgV;None;0.2
#BTC #bitcoin $3946.36 #ETH #ethereum $134.13 #BCH #Bitcoin Cash $397.34 #ltc #litecoin $58.64 #XRP #ripple $0.3… https://t.co/TLgH7gQpWi;#BTC #bitcoin $3946.36 #ETH #ethereum $134.13 #BCH #Bitcoin Cash $397.34 #ltc #litecoin $58.64 #XRP #ripple $0.3 #XMR #monero $51.67 #DSH #dash $88.8 #criptovalute #valutevirtuali  https://t.co/cMNqFfDMDW;0
Mar 26, 2019 05:00PM #Bitcoin Price: USD 3955.50 | EUR 3463.25 | JPY 430974.85;None;0
$BTC : +0.23%📈 3982$ Top (last h): $ENG : +15.04%📈 15815st $PIVX : +3.98%📈 23243st $ZIL : +2.50%📈 480st $PAI : +2.3… https://t.co/P76kKgi2Mm;$BTC : +0.23%📈 3982$ Top (last h): $ENG : +15.04%📈 15815st $PIVX : +3.98%📈 23243st $ZIL : +2.50%📈 480st $PAI : +2.38%📈 1281st Worst (last h): $AOA : -5.57%📉 320st $WICC : -2.96%📉 6703st $OMG : -1.05%📉 41344st #cryptocurrency #blockchain;0
User experience designer - AI startup - Breezy HR ( Harwell, UK )  - [ 📋 More Info  https://t.co/7grRQJAboz ]  #IoT… https://t.co/1KHSKmP2x6;User experience designer - AI startup - Breezy HR ( Harwell, UK )  - [ 📋 More Info  https://t.co/7grRQJAboz ]  #IoT #jobs #Hiring #Careers #Harwell #UK #Cryptocurrency #Blockchain #BTC #BitCoin #ETH #crypto https://t.co/94dZlmYAfg;0
TOP-12 most-mentioned #crypto this hour: 1. #bitcoin 2. #ethereum 3. #xrp 4. #nem 5. #eos 6. #stratis 7. #cardano 8… https://t.co/kbUONNqbPa;TOP-12 most-mentioned #crypto this hour: 1. #bitcoin 2. #ethereum 3. #xrp 4. #nem 5. #eos 6. #stratis 7. #cardano 8. #dash 9. #digitexfutures 10. #litecoin 11. #waves 12. #status #cryptocurrency #altcoin #blockchain #news #CryptoBuzzTracker https://t.co/b4Q6zgHjAt;0
One Bitcoin now worth $3943.880. Market Cap $69.459 Billion. Based on #coindesk BPI #bitcoin;None;0
�� Total Market Cap: $138,547,002,367 💵 1 BTC: $3,984.45 🔴 BTC Dominance: 50.66% ⏰ Update Time: 27-03-2019 - 03:00:05 (GMT+3);None;0
#Weiss #Crypto #Ratings Puts #Bitcoin Aside #EOS and #XRP in Annual Outlook - https://t.co/fBn1B9Qdgp $BTC $EOS $XRP #BTC #Ripple;None;0
#MTH - Sharp decrease 1h: -8.8% V: 13.9M$ on https://t.co/fC7n9Xb8X9   Users are notified 1H ago via… https://t.co/4PXvXZpsxI;"#MTH - Sharp decrease 1h: -8.8% V: 13.9M$ on https://t.co/fC7n9Xb8X9   Users are notified 1H ago via https://t.co/mfcT6cyBbr &amp; App.   #blockchain #cryptocurrency #altcoins #coinalert #crypto $MTH $BTC $ETH $XRP $BCH $LTC $EOS $NEO $TRX $BTT #binance #okex https://t.co/BWUra7jcpE";0
#SocialistesQueDecidim Who makes money from bitcoin https://t.co/uCOJzXyhfY https://t.co/9RhzErZ8xo;None;0
A new post: Crypto Analytics Firm Messari Introduces New Exchange Index Following Fake Volume Reports is added on… https://t.co/t0RwayROis;A new post: Crypto Analytics Firm Messari Introduces New Exchange Index Following Fake Volume Reports is added on https://t.co/fel65v6AHx #altnewsnu #altcoin #bitcoin #news;0
Bitcoin (BTC) price: $3942.61, 24HR change: 13.51 Ethereum (ETH) price: $134.29, 24HR change: 0.01;None;0
"Sign up for Lolli using my referral link --&gt; https://t.co/nLFNFiynsK - &amp; earn free BTC...we both earn free BTC...PE… https://t.co/I4kzyUd1j0";"when u first learn about sound money    {\__/} ( • - •) 💵&lt; \  {\__/} ( • . •) / &gt;💵  {\__/} ( • . •)  / &gt;   |               💵    {\__/} ⌐■_■) / &gt;   |                               🔥💵🔥                                           🔥🔥";0
Cryptobridge's Volume : 234.18 BTC and 0.92 MUSD at 00:00 on 27-03-2019;None;0
RT @misir_mahmudov: Bitcoin is a universal unit of measurement  Just like 1 meter always = 100 cm, 1 bitcoin always = 100,000,000 sats  Usi…;Bitcoin is a universal unit of measurement  Just like 1 meter always = 100 cm, 1 bitcoin always = 100,000,000 sats  Using the dollar to value things (incl. BTC) makes little sense as its supply always changes  Imagine trying to measure smth if a meter constantly changed in length;0.2
This is great project. The professional team will ensure the stable development of the project. I hope that the pro… https://t.co/nIcDSbRRUI;This is great project. The professional team will ensure the stable development of the project. I hope that the project will be interested in large investment funds. I recommend you to participate on it. #bitenny  #ICO #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum;0.4
#OAX - Rapid increase 1h: 8.6% V: 64.2M$ on https://t.co/fC7n9Xb8X9   Users are notified 1H ago via… https://t.co/suaIrzS3xX;"#OAX - Rapid increase 1h: 8.6% V: 64.2M$ on https://t.co/fC7n9Xb8X9   Users are notified 1H ago via https://t.co/mfcT6cyBbr &amp; App.   #blockchain #cryptocurrency #altcoins #coinalert #crypto $OAX $BTC $ETH $XRP $BCH $LTC $EOS $NEO $TRX $BTT #binance #okex https://t.co/CGBSCaIRc9";0.2
Long/Short BTC moves with up to 100x Leverage at PrimeXBT! 💰👑  Join right away and trade your $50 into $7500:  ✅… https://t.co/hJ5u2cwGoJ;Long/Short BTC moves with up to 100x Leverage at PrimeXBT! 💰👑  Join right away and trade your $50 into $7500:  ✅ https://t.co/t3wFBDMZmM ✅  Make money even if BTC is dropping! 📉📉  $BTC | $DGB | $GTO | $BTC | $HC | $POLY | $AOA | $BTC | $BTT | $LA | https://t.co/J3Ii2cDUKs;0.4
"$1,006,731 worth of #Bitcoin sold at $3,915.5 00:00:08.067Z 2019/03/27 | https://t.co/crJvC75GzW| 💰💰💰💰💰💰💰💰💰💰 ""Wait… https://t.co/z6aCxnjdbg";"$1,006,731 worth of #Bitcoin sold at $3,915.5 00:00:08.067Z 2019/03/27 | https://t.co/crJvC75GzW| 💰💰💰💰💰💰💰💰💰💰 ""Wait for the bounce, then short the corn""";0
RT @TIPMayerMultple: Mar 26, 2019: The current Mayer Multiple is 0.83 with a $BTC price of $USD 3,935.29 and a 200 day moving average of $4…;Mar 26, 2019: The current Mayer Multiple is 0.83 with a $BTC price of $USD 3,935.29 and a 200 day moving average of $4,734.60 USD. The @TIPMayerMultple has historically been higher 78.94% of the time with an average of 1.48. Learn more at: https://t.co/9n0xlTWuNP;0
Bitmain IPO Filing With Hong Kong Stock Exchange Expires Today https://t.co/aQ9Zff5CWe #BitmainIPO #CryptoNews #bitcoin;None;0
#computerart : #bitcoin #blockchain 's LAST Block, Height : 568938 [ See more on https://t.co/p7nE81m7aK ] https://t.co/p0KIrg0w5Z;None;0
"This tweet, ""RT decimated_game: We are live on latokens now! https://t.co/yVcyEmLtj3  #crypto #btc #eth #dio… https://t.co/8pB9DoNGOr";"This tweet, ""RT decimated_game: We are live on latokens now! https://t.co/yVcyEmLtj3  #crypto #btc #eth #dio #airdrop #cryptocurrencynews #blockchain…"" has been retweeted 92 times.";0.2
