Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,RecallRise,RecalFall,F1Rise,F1Fall
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 1",0.5770584095707249,0.6,0.547923322683706,0.6276315789473684,0.518910741301059,0.6135048231511254,0.5330225330225329
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 2",0.5679099225897255,0.5955497382198953,0.5357686453576864,0.5986842105263158,0.5325264750378215,0.5971128608923886,0.5341426403641881
Random Forest,"window_size: 1 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 1",0.5746478873239437,0.5808736717827627,0.5654450261780105,0.6639676113360324,0.4771723122238586,0.619647355163728,0.5175718849840256
Random Forest,"window_size: 1 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 2",0.5584507042253521,0.5686746987951807,0.5440677966101695,0.6369770580296896,0.4727540500736377,0.6008911521323997,0.5059101654846335
Random Forest,"window_size: 2 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 1",0.5619718309859155,0.56442417331813,0.5580110497237569,0.6734693877551021,0.4423357664233577,0.6141439205955335,0.493485342019544
Random Forest,"window_size: 2 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 2",0.5577464788732395,0.5633136094674556,0.5495652173913044,0.6476190476190476,0.4613138686131386,0.6025316455696202,0.5015873015873017
Random Forest,"window_size: 3 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 1",0.5422535211267606,0.524822695035461,0.581986143187067,0.7410586552217453,0.3495145631067961,0.6144721233689205,0.4367417677642981
Random Forest,"window_size: 3 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 2",0.5429577464788733,0.5261506276150628,0.5775862068965517,0.7195994277539342,0.3717059639389737,0.6078549848942597,0.4523206751054853
Random Forest,"window_size: 5 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 1",0.547887323943662,0.5389541088580576,0.5652173913043478,0.7062937062937062,0.3872340425531915,0.6113801452784503,0.4595959595959596
Random Forest,"window_size: 5 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 2",0.5485915492957747,0.5403050108932462,0.5637450199203188,0.6937062937062937,0.4014184397163121,0.6074709124311083,0.4689312344656173
Random Forest,"window_size: 8 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 1",0.5440451021846371,0.5287698412698413,0.5815085158150851,0.7560283687943262,0.3347338935574229,0.6223000583771162,0.4248888888888888
Random Forest,"window_size: 8 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 2",0.5348837209302325,0.5228891149542217,0.5619266055045872,0.7290780141843972,0.3431372549019608,0.6090047393364929,0.4260869565217392
Random Forest,"window_size: 13 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 1",0.5324400564174894,0.5250501002004008,0.55,0.7349228611500701,0.3276595744680851,0.6125073056691993,0.4106666666666667
Random Forest,"window_size: 13 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 2",0.5479548660084627,0.5379746835443038,0.5680851063829787,0.7152875175315568,0.3787234042553192,0.6140878988561107,0.454468085106383
Random Forest,"window_size: 21 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 1",0.5275423728813561,0.5212435233160622,0.541019955654102,0.7084507042253522,0.34560906515580736,0.6005970149253731,0.4217804667242869
Random Forest,"window_size: 21 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 2",0.5268361581920904,0.5200803212851406,0.5428571428571428,0.7295774647887324,0.3229461756373937,0.6072684642438452,0.40497335701598575
GaussianNB,window_size: 0,0.4736101337086559,0.5652173913043478,0.4672686230248307,0.06842105263157895,0.9394856278366112,0.12206572769953053,0.6241206030150753
GaussianNB,window_size: 1,0.473943661971831,0.4884615384615385,0.4706896551724138,0.17139001349527666,0.8041237113402062,0.25374625374625376,0.5938009787928221
GaussianNB,window_size: 2,0.5098591549295775,0.5161825726141079,0.4744186046511628,0.8462585034013606,0.14890510948905109,0.6412371134020619,0.22666666666666666
GaussianNB,window_size: 3,0.5063380281690141,0.4989130434782609,0.52,0.6566523605150214,0.3606102635228849,0.567016676961087,0.4258804258804259
GaussianNB,window_size: 5,0.4947145877378436,0.4949916527545911,0.4932126696832579,0.8411347517730496,0.15266106442577032,0.6232264844981608,0.2331550802139037
GaussianNB,window_size: 0,0.4736101337086559,0.5652173913043478,0.4672686230248307,0.06842105263157895,0.9394856278366112,0.12206572769953053,0.6241206030150753
