Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,PrecisionStay,RecallRise,RecalFall,RecalStay,F1Rise,F1Fall,F1Stay
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 5 min_samples_split: 2 min_samples_leaf: 1,0.3912921348314607,0.3598318011517768,0.4081374628906021,0.4019233876930984,0.3254385964912281,0.31607142857142856,0.5138461538461538,0.34168362691606025,0.3560319685576072,0.4509230711996004
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 5 min_samples_split: 2 min_samples_leaf: 2,0.3943820224719101,0.3745554668052535,0.4041048990606857,0.4020575659883791,0.3464912280701754,0.30892857142857144,0.51,0.3598340273122561,0.3498062095014681,0.4493983865313934
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 5 min_samples_split: 2 min_samples_leaf: 3,0.3904494382022473,0.3685218129042898,0.4078708725637144,0.3965621277794326,0.3403508771929825,0.30267857142857146,0.51,0.3536655229637743,0.34682864598751145,0.4460407719707623
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 5 min_samples_split: 2 min_samples_leaf: 4,0.3957865168539326,0.3661966517617789,0.4083409957172057,0.4073459331299446,0.3307017543859649,0.3151785714285714,0.5223076923076923,0.3474182795581243,0.3554966192907384,0.4575901304843482
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 5 min_samples_split: 2 min_samples_leaf: 5,0.3879213483146067,0.3712100327285133,0.3895086426801482,0.3975626008316384,0.33157894736842103,0.2991071428571429,0.5138461538461538,0.34997406722868185,0.33817014611568585,0.4481799996538727
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 5 min_samples_split: 3 min_samples_leaf: 1,0.3865168539325843,0.35765827947003936,0.39696646080962106,0.3991622546453879,0.32280701754385965,0.3089285714285714,0.5092307692307692,0.3392601123314201,0.3470972439758665,0.4474227422643665
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 5 min_samples_split: 3 min_samples_leaf: 2,0.3870786516853933,0.3679237995269113,0.3910981989355117,0.3961064358505014,0.325438596491228,0.30267857142857146,0.5138461538461538,0.3450651486015421,0.34112201504621914,0.4471308871814337
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 5 min_samples_split: 3 min_samples_leaf: 3,0.3963483146067416,0.3833015499252506,0.3980501936858009,0.40351977464776667,0.34298245614035083,0.3107142857142857,0.5169230769230768,0.3618614829274636,0.3488524445715385,0.4531300036434988
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 5 min_samples_split: 3 min_samples_leaf: 4,0.39382022471910105,0.3748418296932031,0.39410201178193305,0.405460038443993,0.34736842105263155,0.3017857142857143,0.5138461538461538,0.36039777650172,0.3416138807821789,0.4531290517683814
Custom Model,target percentage lr 0.001 epochs 30 optimizer Adam max_depth: 5 min_samples_split: 3 min_samples_leaf: 5,0.4014044943820225,0.37660613248936176,0.4158900187136001,0.4097627700493729,0.3491228070175438,0.3205357142857143,0.5169230769230769,0.3621453812762747,0.3618962586307769,0.4569670313518062
