Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,RecallRise,RecalFall,F1Rise,F1Fall
Custom Model, max_depth: 5 min_samples_split: 2 min_samples_leaf: 1,0.5403377110694185,0.5391111752533069,0.5420704153525082,0.6157063197026023,0.4635416666666667,0.574783844941531,0.49960186534682915
Custom Model, max_depth: 5 min_samples_split: 2 min_samples_leaf: 2,0.5408067542213884,0.5398289088402053,0.5422327934681475,0.6092007434944239,0.4711174242424242,0.5723517352718448,0.5040708611570969
Custom Model, max_depth: 5 min_samples_split: 2 min_samples_leaf: 3,0.5358818011257036,0.5356626844616285,0.5362373038320793,0.6050185873605948,0.4654356060606061,0.5681269985086158,0.4981741338418331
Custom Model, max_depth: 5 min_samples_split: 2 min_samples_leaf: 4,0.5323639774859287,0.5321971971599426,0.5325437500117092,0.6096654275092936,0.45359848484848486,0.5682523533964405,0.4898280899269205
Custom Model, max_depth: 5 min_samples_split: 2 min_samples_leaf: 5,0.5354127579737336,0.5351906499933796,0.5356937378752766,0.6064126394052044,0.4630681818181818,0.5685362576342056,0.4966736693325331
Custom Model, max_depth: 5 min_samples_split: 3 min_samples_leaf: 1,0.5318949343339586,0.5316110346964498,0.5323638028463886,0.6096654275092938,0.4526515151515152,0.5678902985015144,0.4891545899308607
Custom Model, max_depth: 5 min_samples_split: 3 min_samples_leaf: 2,0.549718574108818,0.5472916321764256,0.5530389564534289,0.6245353159851302,0.4734848484848485,0.5833180636267215,0.5101002200000745
Custom Model, max_depth: 5 min_samples_split: 3 min_samples_leaf: 3,0.5333020637898687,0.5329051736166686,0.5339636908978007,0.6078066914498141,0.4573863636363637,0.5677922322473989,0.49255082398643657
Custom Model, max_depth: 5 min_samples_split: 3 min_samples_leaf: 4,0.5417448405253283,0.5404419252148047,0.5435469201065464,0.6152416356877324,0.46685606060606055,0.5753642521900018,0.5022002062830302
Custom Model, max_depth: 5 min_samples_split: 3 min_samples_leaf: 5,0.5323639774859287,0.532169824986346,0.5326676185621165,0.6073420074349443,0.45596590909090906,0.5672157540740665,0.49124559268464685
Custom Model, max_depth: 5 min_samples_split: 4 min_samples_leaf: 1,0.5431519699812383,0.5423097256692206,0.5444545471659529,0.6050185873605949,0.4801136363636364,0.5717923447632315,0.5100354020928478
Custom Model, max_depth: 5 min_samples_split: 4 min_samples_leaf: 2,0.524624765478424,0.5257893727645814,0.5231467955353755,0.5920074349442379,0.45596590909090906,0.5568419665985829,0.4871088545646073
Custom Model, max_depth: 5 min_samples_split: 4 min_samples_leaf: 3,0.5398686679174485,0.5393923573333828,0.5404999524881143,0.6045539033457249,0.47395833333333337,0.5701018040885734,0.5050234472276095
Custom Model, max_depth: 5 min_samples_split: 4 min_samples_leaf: 4,0.5422138836772983,0.540537648216614,0.5445552361962382,0.6189591078066915,0.4640151515151515,0.5770738067977692,0.501032799318878
Custom Model, max_depth: 5 min_samples_split: 4 min_samples_leaf: 5,0.5379924953095684,0.5377059314033851,0.5384920201395462,0.6022304832713754,0.4725378787878788,0.568004787997976,0.5031640212108941
Custom Model, max_depth: 5 min_samples_split: 5 min_samples_leaf: 1,0.5457317073170731,0.5440947998025559,0.5479425555059927,0.6171003717472119,0.47301136363636365,0.5782646551280393,0.5076682532682144
Custom Model, max_depth: 5 min_samples_split: 5 min_samples_leaf: 2,0.5389305816135085,0.5380933888511377,0.5400251877175625,0.612453531598513,0.4640151515151515,0.572849085025553,0.4991095056363644
Custom Model, max_depth: 5 min_samples_split: 5 min_samples_leaf: 3,0.5333020637898687,0.5334263619672336,0.5331684362058023,0.6003717472118959,0.46496212121212116,0.5648966996670414,0.49669491050616854
Custom Model, max_depth: 5 min_samples_split: 5 min_samples_leaf: 4,0.5398686679174485,0.5384604666926882,0.5419487979898464,0.6161710037174721,0.4621212121212121,0.5746060592917108,0.4987098134024617
