Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,RecallRise,RecalFall,F1Rise,F1Fall
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 2 min_samples_leaf: 1,0.5345505617977528,0.5182614868349305,0.5556473353066491,0.6011560693641618,0.4715846994535519,0.5565534469926978,0.5100437926359149
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 2 min_samples_leaf: 2,0.5213483146067415,0.5062545304663375,0.5418833994130803,0.5988439306358381,0.4480874316939891,0.548574902867935,0.490384830862063
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 2 min_samples_leaf: 3,0.5269662921348315,0.5114288316350436,0.547359479558289,0.5971098265895953,0.4606557377049179,0.5509178295138389,0.5002157661496878
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 2 min_samples_leaf: 4,0.5320224719101124,0.5160430318755505,0.5528199910072448,0.6000000000000001,0.46775956284153,0.5547628780817561,0.5065924581186172
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 2 min_samples_leaf: 5,0.5297752808988763,0.514065731592084,0.5500295143499933,0.5953757225433526,0.4677595628415301,0.5516583349841172,0.5054415403663522
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 3 min_samples_leaf: 1,0.5286516853932585,0.5130098308971355,0.548893637784293,0.5953757225433526,0.4655737704918033,0.5510875382374831,0.5037434213724022
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 3 min_samples_leaf: 2,0.5351123595505618,0.5185307742400563,0.5572091520741408,0.6092485549132948,0.4650273224043716,0.5601913281927386,0.5068834957394548
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 3 min_samples_leaf: 3,0.526685393258427,0.5110290446064513,0.5479561879269803,0.6046242774566475,0.4530054644808743,0.5537542584483331,0.4957263604153408
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 3 min_samples_leaf: 4,0.5353932584269663,0.5188341165920057,0.5571386484318475,0.6057803468208093,0.4688524590163935,0.5589106006074086,0.5091418303619571
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 3 min_samples_leaf: 5,0.5227528089887641,0.5078095394984373,0.5420334675766789,0.5884393063583815,0.4606557377049179,0.545088072711636,0.4979330466699967
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 4 min_samples_leaf: 1,0.531741573033708,0.5157096533827723,0.5527831205482442,0.6017341040462428,0.4655737704918033,0.5553166416244789,0.5053002034957335
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 4 min_samples_leaf: 2,0.5286516853932585,0.5127366302035636,0.549997587322572,0.6034682080924856,0.4579234972677596,0.5543145337840738,0.4995942217909121
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 4 min_samples_leaf: 3,0.5370786516853931,0.520066643982811,0.5599474772846089,0.6127167630057804,0.4655737704918033,0.5625436864795903,0.5083213836141144
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 4 min_samples_leaf: 4,0.5224719101123595,0.5073978917193867,0.5423716180945223,0.5936416184971098,0.4551912568306011,0.5470829447758949,0.4948783693508914
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 4 min_samples_leaf: 5,0.5247191011235955,0.5092973981449823,0.5451209383352993,0.5953757225433525,0.4579234972677596,0.5488942311119126,0.4975871361503604
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 5 min_samples_leaf: 1,0.5266853932584269,0.5112954071088162,0.5468468908219634,0.5965317919075146,0.4606557377049179,0.5505459605940534,0.4999268362024985
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 5 min_samples_leaf: 2,0.5351123595505618,0.5185579878588231,0.5568862982832508,0.6057803468208093,0.4683060109289617,0.5587439658714789,0.5087028281501127
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 5 min_samples_leaf: 3,0.5308988764044943,0.5146032008726815,0.5523253483809295,0.5988439306358382,0.4666666666666667,0.5532870686792812,0.5055273864837614
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 5 min_samples_leaf: 4,0.522191011235955,0.5071203420170262,0.5425115510643213,0.5988439306358382,0.4497267759562842,0.5491164280415936,0.4916796373683976
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 5 min_samples_split: 5 min_samples_leaf: 5,0.5258426966292136,0.5104016630240495,0.5458672303728811,0.5919075144508671,0.4633879781420765,0.5480561236454532,0.501126596342023
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 6 min_samples_split: 2 min_samples_leaf: 1,0.5323033707865169,0.5159067883764394,0.5543668326058034,0.6086705202312138,0.4601092896174863,0.5584350696125213,0.50281470478687
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 6 min_samples_split: 2 min_samples_leaf: 2,0.5280898876404494,0.5124380624846229,0.5489930341526683,0.6023121387283237,0.4579234972677596,0.5536380124751188,0.4991687626985862
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 6 min_samples_split: 2 min_samples_leaf: 3,0.5289325842696628,0.5133751335884102,0.5492198325661181,0.5971098265895953,0.4644808743169399,0.5519503658348488,0.5031077939450991
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 6 min_samples_split: 2 min_samples_leaf: 4,0.5351123595505618,0.5184130369850054,0.5576972604544289,0.6127167630057804,0.4617486338797813,0.5615711157315849,0.5051067832556753
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 6 min_samples_split: 2 min_samples_leaf: 5,0.5314606741573035,0.5154612480785772,0.5523394888487889,0.6,0.4666666666666667,0.5544587843138473,0.5057929222253819
Custom Model,lr 0.001 epochs 20 optimizer Adam max_depth: 6 min_samples_split: 3 min_samples_leaf: 1,0.5353932584269663,0.5189331757961438,0.5566079053026203,0.6000000000000001,0.4743169398907103,0.5564420731477228,0.5120387197580831
