Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,RecallRise,RecalFall,F1Rise,F1Fall
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 1"",0.5655172413793104,0.5693191765033945,0.5601048365748948,0.6595140206090748,0.4648549245752376,0.6109322112457931,0.5077359078742572"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 2"",0.5733990147783251,0.5798747337173292,0.5647197913302139,0.6552710279529015,0.4849591849543763,0.6150686575755208,0.5215105937106734"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 3"",0.5700211118930331,0.5655875852902479,0.5774414863791489,0.6760117250467728,0.4601373220191491,0.6156880558064383,0.5118801370985372"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 4"",0.564954257565095,0.5554107502225479,0.5814650418797551,0.6789401866524931,0.4501116822021293,0.6106575347978423,0.506891602002564"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 5"",0.5743842364532019,0.5749281348292505,0.5733573600460594,0.6694986102217098,0.4725611119297687,0.6185727398692251,0.5179852449780891"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 3 ,min_samples_leaf: 1"",0.5700211118930332,0.559839156873019,0.5882434716145571,0.6886847346070575,0.4509733232911852,0.6169406469955679,0.5093632827000196"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 3 ,min_samples_leaf: 2"",0.5790288529204786,0.5714507448147661,0.5912667708373163,0.691559229074893,0.4623145457731829,0.6256951378417173,0.5187464734370966"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 3 ,min_samples_leaf: 3"",0.5681914144968332,0.5745886230994858,0.5599389192390317,0.6409648671133061,0.4905117675510524,0.6057699034308821,0.5226701992813158"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 3 ,min_samples_leaf: 4"",0.5779028852920478,0.5758593262282325,0.5849727086283623,0.685802184408282,0.4664643193442304,0.6248530098731205,0.5170820137598647"
"Random Forest,""window_size: 0 , max_depth: 5 ,min_samples_split: 3 ,min_samples_leaf: 5"",0.5767769176636172,0.57786980338858,0.5762311118928406,0.6661679079807534,0.4825806114720638,0.6185075887271927,0.5247505219996021"
