Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,PrecisionStay,RecallRise,RecalFall,RecalStay,F1Rise,F1Fall,F1Stay
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 1",0.43912737508796623,0.4416475972540046,0.4795918367346938,0.42028985507246375,0.3914807302231237,0.6118143459915611,,0.4150537634408602,0.3770053475935829,0.4982817869415808
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 2",0.4454609429978888,0.42951541850220265,0.5140845070422535,0.4275256222547584,0.3955375253549696,0.6160337552742616,,0.4118268215417107,0.3956639566395663,0.5047536732929991
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 3",0.43912737508796623,0.4326086956521739,0.4962406015037594,0.4215827338129496,0.4036511156186613,0.6181434599156118,,0.4176285414480588,0.3666666666666665,0.5012831479897347
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 4",0.4327938071780436,0.4216335540838852,0.4705882352941176,0.4241531664212077,0.38742393509127787,0.6075949367088608,,0.4038054968287527,0.3660834454912517,0.4995663486556808
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 2 ,min_samples_leaf: 5",0.4426460239268121,0.4383259911894273,0.4946996466431096,0.4239766081871345,0.4036511156186613,0.6118143459915611,,0.4202745512143611,0.3799185888738128,0.5008635578583766
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 3 ,min_samples_leaf: 1",0.4342012667135821,0.41885964912280704,0.4888888888888889,0.42302158273381296,0.38742393509127787,0.620253164556962,,0.4025289778714436,0.3646408839779005,0.5029940119760479
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 3 ,min_samples_leaf: 2",0.4356087262491203,0.4257206208425721,0.4818840579710145,0.4236311239193084,0.3894523326572008,0.620253164556962,,0.4067796610169491,0.3643835616438356,0.5034246575342466
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 3 ,min_samples_leaf: 3",0.4433497536945813,0.4391891891891892,0.4914089347079038,0.4256559766763848,0.3955375253549696,0.6160337552742616,,0.416221985058698,0.3838926174496645,0.503448275862069
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 3 ,min_samples_leaf: 4",0.4440534834623505,0.4304932735426009,0.4983164983164983,0.4292035398230089,0.3894523326572008,0.6139240506329114,,0.4089456869009585,0.3941411451398135,0.5052083333333334
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 3 ,min_samples_leaf: 5",0.4349049964813512,0.4218415417558887,0.4924242424242424,0.4217391304347826,0.3995943204868154,0.6139240506329114,,0.4104166666666667,0.3621169916434541,0.5
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 4 ,min_samples_leaf: 1",0.43912737508796623,0.42857142857142855,0.4823943661971831,0.4281524926686217,0.3955375253549696,0.6160337552742616,,0.4113924050632911,0.3712737127371274,0.5051903114186852
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 4 ,min_samples_leaf: 2",0.43771991555242784,0.4202586206896552,0.4966442953020134,0.4233687405159332,0.3955375253549696,0.5886075949367089,,0.4075235109717868,0.3936170212765957,0.4924977934686672
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 4 ,min_samples_leaf: 3",0.44053483462350457,0.4304347826086957,0.4965277777777778,0.4234769687964339,0.4016227180527384,0.6012658227848101,,0.4155299055613851,0.38544474393531003,0.4969485614646906
Random Forest,"window_size: 0 , max_depth: 5 ,min_samples_split: 4 ,min_samples_leaf: 4",0.44123856439127374,0.4305555555555556,0.4898648648648649,0.4271284271284271,0.3772819472616633,0.6244725738396625,,0.4021621621621622,0.38666666666666666,0.5072836332476435
