Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,PrecisionStay,RecallRise,RecalFall,RecalStay,F1Rise,F1Fall,F1Stay
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 1,0.4302134646962233,0.4319310663564152,0.4460161980899423,0.4239173933711081,0.3816772308593235,0.32319575387633703,0.5807317950171597,0.4038117522393694,0.37389572503313656,0.4892222147388639
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 2,0.4306826178747361,0.4132229556481979,0.4659585181035337,0.4304088800644589,0.4164485653237652,0.2872411593423702,0.5865329027467556,0.4137346144133362,0.3545632199403457,0.4957786231912589
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 3,0.4337321135350692,0.4224008247671622,0.4612013059843598,0.4303518514005933,0.4074760199181298,0.3049343954421904,0.5841642363405167,0.41427817315698107,0.3663413290378269,0.4951447778771732
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 4,0.4376026272577997,0.42399596623210206,0.4726870038138486,0.4330466259810468,0.4151674943019105,0.2953027238459389,0.6008271944298559,0.4191358002684096,0.36244015158676296,0.5031263561040927
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 5,0.43338024865118463,0.4227574917531208,0.4819615585140147,0.4255539019493695,0.4077352043428608,0.29111980488192457,0.6042738457903553,0.4132923385915918,0.35947078437507257,0.4985428876176388
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 1,0.4427633122214403,0.4347118579515959,0.4415742445575494,0.4509166446118581,0.411955923984116,0.31408509433345017,0.5895267084446696,0.4222440032877222,0.36614499549147655,0.5107871560494676
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 2,0.4311517710532489,0.4251108606285099,0.464474242326632,0.4214898554079831,0.4072115385746671,0.3013955185478568,0.5869084360333319,0.4149026475289209,0.3646914580726113,0.4902456064341212
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 3,0.4272812573305183,0.4230321981618712,0.4392274698340875,0.4252177388078071,0.3942306047092103,0.30380726449782863,0.5813187224094689,0.4075252100869858,0.3587695529380502,0.4908559928430265
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 4,0.4296270232230823,0.41371784361238856,0.4750311006955401,0.4227762192250192,0.4013492060565431,0.29025625211651845,0.5944465206473835,0.4065395912198411,0.3600936349107258,0.4932665990703801
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 5,0.42470091484869815,0.4098473296789441,0.4549310958191559,0.4231572815129249,0.3948148402661703,0.2764567697576253,0.6028121184894609,0.4015898744384343,0.3427635674900409,0.4970738777436654
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 1,0.43420126671358206,0.4297594629609547,0.4663079584823282,0.4234951127340658,0.3978242733291287,0.30614628137192995,0.6016116127653571,0.4118562027700287,0.36893483311765823,0.4966826029643884
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 2,0.4411212760966456,0.4165308709459455,0.4824782843935222,0.4421146384346219,0.4185404817642882,0.30794887203274235,0.5935516430860064,0.41634906432764895,0.3750737531512256,0.506480836084572
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 3,0.4350222847759794,0.4259824718362911,0.4559863150685934,0.4324823580829119,0.392012056233868,0.3132766525882502,0.6026345278629742,0.4069518302688985,0.37059537504747103,0.5028958454278444
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 4,0.43549143795449213,0.4316744443117076,0.4449711237566372,0.4336838687001095,0.4009681055943531,0.3131944823203032,0.5856611090889555,0.4154930444187059,0.3671879081146913,0.4981804718091401
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 5,0.4336148252404409,0.4298614832694792,0.4338117820214202,0.4379252282044517,0.4006395209636037,0.28760040766112205,0.6062077796189633,0.4136609650395959,0.3445533933336289,0.5082879792316279
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 1,0.43842364532019706,0.40994802308641226,0.4723547495908332,0.4445988338995432,0.4202854604533776,0.3037051165428702,0.5835155196150386,0.414714994075303,0.3695466322903197,0.5045398046190176
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 2,0.4446399249354915,0.4362979326011674,0.4631814153049446,0.444230776403218,0.40957955851324784,0.311591284933432,0.6095991688074178,0.4203087132641824,0.3703843369079029,0.5137092132148106
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 3,0.4448745015247479,0.43216139607322507,0.4645860421878781,0.4467814516696284,0.42028652215256734,0.3103869817468725,0.5995018830403688,0.4251014033652624,0.3706106233658379,0.5116485080353573
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 4,0.439010086793338,0.441929979204247,0.4564332731627282,0.4307417954107993,0.39905225516120746,0.31467773602766896,0.5994710602646619,0.4189010946853548,0.3713742457742694,0.500884759783148
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 5,0.4367816091954023,0.43172833340487626,0.4736987304233231,0.4262879533843597,0.407929044207645,0.3065425863710056,0.5934367952562001,0.418757103411715,0.36989731237932616,0.495847286757267
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 2 min_samples_leaf: 1,0.4360778794276332,0.4266302096470081,0.4536639472435877,0.4360625982765951,0.3847693869832728,0.3247490994148267,0.5999863996800509,0.4039751006066296,0.3765926261074632,0.5044815590576239
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 2 min_samples_leaf: 2,0.4388927984987098,0.4330033078502344,0.4656591706709676,0.43307799595657603,0.41486281408880377,0.30504163962227543,0.5963139721447734,0.4218571258662824,0.3680658806510835,0.5011497248357931
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 2 min_samples_leaf: 3,0.4360778794276332,0.4279818405501314,0.4621977515363158,0.4306811756214468,0.4133404487470547,0.31154467778870765,0.5828140468139775,0.4196695619040478,0.3708671374476826,0.4951472837471387
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 2 min_samples_leaf: 4,0.4383063570255689,0.41642111494890216,0.4871928538687827,0.4332948867172697,0.4083941303754781,0.3170799825229796,0.5882718901230868,0.4112341650147639,0.3831152100840952,0.4984701100055798
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 2 min_samples_leaf: 5,0.4332629603565564,0.4164576743167683,0.450219672858868,0.4387880081889377,0.40546267753820864,0.28819685000841183,0.6007395227202004,0.4103000755034625,0.3507714261840341,0.5067099068484782
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 3 min_samples_leaf: 1,0.4338494018296975,0.4252293167359818,0.4736336212717558,0.425050617168664,0.4135706055205983,0.3104830311940881,0.5784577803171405,0.4177977936340075,0.3725379227714651,0.4898334240000409
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 3 min_samples_leaf: 2,0.4350222847759793,0.4183111564174784,0.4640916716381264,0.4333728005933853,0.40316484186502266,0.322163491481728,0.5770714497655555,0.4102746695929411,0.3795209986877444,0.4946720682307159
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 3 min_samples_leaf: 3,0.4334975369458129,0.4344459995126065,0.44209584850282346,0.4303361455632145,0.3972612007725824,0.3216116892830165,0.5814485005284347,0.4138968070034768,0.3713983739655489,0.4944497226466731
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 3 min_samples_leaf: 4,0.4313863476425053,0.4263840742313527,0.4542576990088002,0.4255653022287584,0.4128053828808014,0.2941161215844376,0.583556825507557,0.4187835041624529,0.35668830705529303,0.4920328025332111
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 3 min_samples_leaf: 5,0.4324419422941591,0.41743849348030415,0.4564116631405442,0.4330238862341001,0.4127938273050956,0.30260654195696185,0.5766490823281454,0.4148927931608912,0.3626462311332686,0.4942911283892792
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 4 min_samples_leaf: 1,0.44311517710532494,0.4360816751638466,0.4712741693008817,0.4374666185669791,0.40859085283298624,0.3185445787646198,0.5955955246028213,0.4200484232851102,0.3795963611419351,0.5033557948831072
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 4 min_samples_leaf: 2,0.4324419422941591,0.43524871853121005,0.4439096468440707,0.4256574604662677,0.40553035928162223,0.3079402256400116,0.5850950231849047,0.41966661314182496,0.3628176180776244,0.4923251647145772
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 4 min_samples_leaf: 3,0.4307999061693643,0.41847848846481545,0.4541659644574358,0.4302417373478648,0.4125978758504106,0.28910681627163115,0.589488174119714,0.4151713103755895,0.35266555908921937,0.4971168707438263
Random Forest,window_size: 0  max_depth: 6 min_samples_split: 4 min_samples_leaf: 4,0.4395965282664791,0.4291716905399208,0.4720017441869616,0.4326305834894867,0.401050690753942,0.3203756218396894,0.5927318711317286,0.4139776066422545,0.3808266735472309,0.4998675335593701
